count,audio,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,key_resp_16.keys,key_resp_16.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,participant,session,date,expName,psychopyVersion,frameRate,
0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[22 14 34 42 11 43 31 23 12 33 41 21 32 13 24 44],"['Social' 'Location' 'Social' 'Location' 'Social' 'Social' 'Location'
 'Location' 'Location' 'Location' 'Social' 'Location' 'Social' 'Social'
 'Social' 'Location']",[12 33 41 21 32 13 24 44],"['Location' 'Location' 'Social' 'Location' 'Social' 'Social' 'Social'
 'Location']",space,82.05123929000001,space,0.6698482899999476,space,0.7865212579999934,,,,,,,,,,,,,,,,,082919_p1,001,2019_Aug_29_1355,body_behavioural,3.0.4,59.98621576748611,
0,parcelated_audio/22/22_1.aiff,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,3.1531873380000093,space,0.8698300400000107,9,0.35312952499998573,,,,,,,,,,,082919_p1,001,2019_Aug_29_1355,body_behavioural,3.0.4,59.98621576748611,
0,parcelated_audio/22/22_2.aiff,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,0.35324996999997893,,,,,,,,,,,082919_p1,001,2019_Aug_29_1355,body_behavioural,3.0.4,59.98621576748611,
0,parcelated_audio/22/22_3.aiff,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,1,0.3365786539999931,,,,,,,,,,,082919_p1,001,2019_Aug_29_1355,body_behavioural,3.0.4,59.98621576748611,
0,parcelated_audio/22/22_4.aiff,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,1,0.8365859269999874,,,,,,,,,,,082919_p1,001,2019_Aug_29_1355,body_behavioural,3.0.4,59.98621576748611,
0,parcelated_audio/22/22_5.aiff,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,1,0.35311829699998043,,,,,,,,,,,082919_p1,001,2019_Aug_29_1355,body_behavioural,3.0.4,59.98621576748611,
0,parcelated_audio/22/22_6.aiff,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,1,0.3339178230000357,,,,,,,,,,,082919_p1,001,2019_Aug_29_1355,body_behavioural,3.0.4,59.98621576748611,
0,parcelated_audio/22/22_7.aiff,,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,1,0.7694920139999795,,,,,,,,,,,082919_p1,001,2019_Aug_29_1355,body_behavioural,3.0.4,59.98621576748611,
0,parcelated_audio/22/22_8.aiff,,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,9,0.370110206999982,,,,,,,,,,,082919_p1,001,2019_Aug_29_1355,body_behavioural,3.0.4,59.98621576748611,
0,parcelated_audio/22/22_9.aiff,,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,1,0.3032160779999913,,,,,,,,,,,082919_p1,001,2019_Aug_29_1355,body_behavioural,3.0.4,59.98621576748611,
