instruct_text,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,key_resp_21.keys,key_resp_21.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_7.keys,key_resp_7.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.0549488380002003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0910,part1_subjective_segmentation,3.0.4,59.98780627864927,
"In this experiment, you will be assuming the perspectives of various jobs while listening to short stories.",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.836668199999622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0910,part1_subjective_segmentation,3.0.4,59.98780627864927,
"There are 4 parts of the experiment, and, before you begin, we'll give you a brief overview of all the parts. ",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.036262997999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0910,part1_subjective_segmentation,3.0.4,59.98780627864927,
1,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8362712680000186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0910,part1_subjective_segmentation,3.0.4,59.98780627864927,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.487806126000578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0910,part1_subjective_segmentation,3.0.4,59.98780627864927,
"For each short story, you'll be assigned one of these perspectives to assume while you listen to it. ",,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.119544123000196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0910,part1_subjective_segmentation,3.0.4,59.98780627864927,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.586321829000553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0910,part1_subjective_segmentation,3.0.4,59.98780627864927,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,9.437086135000754,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0910,part1_subjective_segmentation,3.0.4,59.98780627864927,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,11.37060898799973,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0910,part1_subjective_segmentation,3.0.4,59.98780627864927,
The 4 questions for each perspective are learned with quizzes in this first part of the experiment. ,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.453520383000068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0910,part1_subjective_segmentation,3.0.4,59.98780627864927,
2,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.1698569680002038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0910,part1_subjective_segmentation,3.0.4,59.98780627864927,
"In the second part of the experiment, you will listen to 8 short stories. ",,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.1199694380002256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0910,part1_subjective_segmentation,3.0.4,59.98780627864927,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,9.736761429999206,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0910,part1_subjective_segmentation,3.0.4,59.98780627864927,
You will hear each sentence of the story played individually.,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.6199236580005163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0910,part1_subjective_segmentation,3.0.4,59.98780627864927,
"The sentence will play fully, and, when the sentence has finished playing, you will press a button to advance to the next sentence. ",,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.653554902999531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0910,part1_subjective_segmentation,3.0.4,59.98780627864927,
"Before listening to each story, you will be assigned one of the eight perspectives to take on while listening to it. ",,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.769937535000281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0910,part1_subjective_segmentation,3.0.4,59.98780627864927,
You'll be given a quiz before the story on the 4 questions associated with the assigned perspective. ,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.403549798000313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090419_p1,001,2019_Sep_04_0910,part1_subjective_segmentation,3.0.4,59.98780627864927,
