count,audio,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,text_38.started,text_38.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_39.started,text_39.stopped,text_33.started,text_33.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_4.started,text_4.stopped,image.started,image.stopped,text_5.started,text_5.stopped,text_37.started,text_37.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,question1_2.started,question1_2.stopped,question2_2.started,question2_2.stopped,question3_2.started,question3_2.stopped,question4_2.started,question4_2.stopped,question5_2.started,question5_2.stopped,question6_2.started,question6_2.stopped,image_15.started,image_15.stopped,text_49.started,text_49.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,text_50.started,text_50.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,sound_1.started,sound_1.stopped,pic1.started,pic1.stopped,story_presses.keys,story_presses.rt,story_presses.started,story_presses.stopped,image_2.started,image_2.stopped,text_34.started,text_34.stopped,text_35.started,text_35.stopped,text.started,text.stopped,text_52.started,text_52.stopped,key_resp_16.keys,key_resp_16.rt,key_resp_16.started,key_resp_16.stopped,story time,text_45.started,text_45.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_6.started,text_6.stopped,text_24.started,text_24.stopped,text_41.started,text_41.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall,text_9.started,text_9.stopped,text_10.started,text_10.stopped,image_4.started,image_4.stopped,polygon.started,polygon.stopped,bottom_line.started,bottom_line.stopped,right_line_2.started,right_line_2.stopped,left_line.started,left_line.stopped,text_48.started,text_48.stopped,recall time,participant,session,date,expName,psychopyVersion,frameRate,
0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[44 22 14 43 21 31 13 32],"['Location' 'Social' 'Social' 'Social' 'Location' 'Social' 'Location'
 'Location']",14.497789405984804,None,space,34.11977053998271,14.497789405984804,None,14.497789405984804,None,48.64930053599528,None,space,2.0998338450153824,48.64930053599528,None,51.00038246597978,None,51.00038246597978,None,51.00038246597978,None,52.849837485991884,None,space,3.7430022829794325,52.849837485991884,None,56.88452347597922,None,56.88452347597922,None,56.88452347597922,None,56.88452347597922,None,56.88452347597922,None,56.88452347597922,None,56.88452347597922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091819_p2,001,2019_Sep_18_1531,body_behavioural,3.2.1,59.78447266931412,
0,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.2681799029815,None,69.2681799029815,None,69.2681799029815,None,70.0181847459753,None,space,4.917482254997594,70.0181847459753,None,75.20229148099315,None,75.20229148099315,None,75.20229148099315,None,75.20229148099315,None,75.20229148099315,None,75.20229148099315,None,75.20229148099315,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091819_p2,001,2019_Sep_18_1531,body_behavioural,3.2.1,59.78447266931412,
0,parcelated_audio/44/44_1.aiff,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,95.38712925298023,None,95.38712925298023,None,95.38712925298023,None,,,,,,,,,,,,,,,,,,,,,93.60316067299573,None,space,1.706722759990953,93.60316067299573,None,96.25336605097982,None,space,2.000209839985473,96.25336605097982,None,98.37012836417416,None,98.37025856599212,None,9,2.093055395002011,106.28828311097459,None,106.28828311097459,None,106.28828311097459,None,106.28828311097459,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091819_p2,001,2019_Sep_18_1531,body_behavioural,3.2.1,59.78447266931412,
0,parcelated_audio/44/44_2.aiff,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.4880579091725,None,108.48753705597483,None,9,1.0332792599801905,116.40582907799399,None,116.40582907799399,None,116.40582907799399,None,116.40582907799399,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091819_p2,001,2019_Sep_18_1531,body_behavioural,3.2.1,59.78447266931412,
0,parcelated_audio/44/44_3.aiff,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.52190493118833,None,117.52156729297712,None,9,5.920431179984007,122.95632445599767,None,122.95632445599767,None,122.95632445599767,None,122.95632445599767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091819_p2,001,2019_Sep_18_1531,body_behavioural,3.2.1,59.78447266931412,
0,parcelated_audio/44/44_4.aiff,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.97284608618355,None,128.97309896099614,None,9,3.2683710379933473,134.039369555976,None,134.039369555976,None,134.039369555976,None,134.039369555976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091819_p2,001,2019_Sep_18_1531,body_behavioural,3.2.1,59.78447266931412,
0,parcelated_audio/44/44_5.aiff,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.40692317618522,None,137.40679041598924,None,1,1.145675259991549,143.60790814098436,None,143.60790814098436,None,143.60790814098436,None,143.60790814098436,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091819_p2,001,2019_Sep_18_1531,body_behavioural,3.2.1,59.78447266931412,
0,parcelated_audio/44/44_6.aiff,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.84062703619128,None,144.8410808959743,None,1,0.45102231501368806,151.7913953079842,None,151.7913953079842,None,151.7913953079842,None,151.7913953079842,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091819_p2,001,2019_Sep_18_1531,body_behavioural,3.2.1,59.78447266931412,
0,parcelated_audio/44/44_7.aiff,,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.3411869841977,None,152.34181044297293,None,1,0.45145977300126106,158.3577170429926,None,158.3577170429926,None,158.3577170429926,None,158.3577170429926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091819_p2,001,2019_Sep_18_1531,body_behavioural,3.2.1,59.78447266931412,
0,parcelated_audio/44/44_8.aiff,,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.90865107618737,None,158.90771344298264,None,1,0.358383402985055,163.14141539597767,None,163.14141539597767,None,163.14141539597767,None,163.14141539597767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091819_p2,001,2019_Sep_18_1531,body_behavioural,3.2.1,59.78447266931412,
