instruct_text,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,text_7.started,text_7.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,welcome_2.started,welcome_2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,key_resp_19.keys,key_resp_19.rt,key_resp_19.started,key_resp_19.stopped,image_14.started,image_14.stopped,text_24.started,text_24.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.started,key_resp_20.stopped,text_25.started,text_25.stopped,key_resp_21.keys,key_resp_21.rt,key_resp_21.started,key_resp_21.stopped,image_15.started,image_15.stopped,text_26.started,text_26.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,text_17.started,text_17.stopped,image_10.started,image_10.stopped,text_19.started,text_19.stopped,key_resp_16.keys,key_resp_16.rt,key_resp_16.started,key_resp_16.stopped,image_12.started,image_12.stopped,text_20.started,text_20.stopped,key_resp_17.keys,key_resp_17.rt,key_resp_17.started,key_resp_17.stopped,image_13.started,image_13.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,13.821876043977682,None,space,2.5391392349847592,13.821876043977682,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092319_p4,001,2019_Sep_23_1435,part1_subjective_segmentation,3.2.1,59.99572014233294,
"In this experiment, you will be assuming the perspectives of various jobs while listening to short stories.",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,16.4552633339772,None,space,5.444249966996722,16.4552633339772,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092319_p4,001,2019_Sep_23_1435,part1_subjective_segmentation,3.2.1,59.99572014233294,
"There are 4 parts of the experiment, and, before you begin, we'll give you a brief overview of all the parts. ",0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,21.955627507995814,None,space,4.426511341996957,21.955627507995814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092319_p4,001,2019_Sep_23_1435,part1_subjective_segmentation,3.2.1,59.99572014233294,
1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,26.405948552011978,None,space,1.2481941700098105,26.405948552011978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092319_p4,001,2019_Sep_23_1435,part1_subjective_segmentation,3.2.1,59.99572014233294,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,27.706026792002376,None,space,4.593283847963903,27.706026792002376,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092319_p4,001,2019_Sep_23_1435,part1_subjective_segmentation,3.2.1,59.99572014233294,
"For each short story, you'll be assigned one of these perspectives to assume while you listen to it. ",0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,32.35645952401683,None,space,4.754822360002436,32.35645952401683,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092319_p4,001,2019_Sep_23_1435,part1_subjective_segmentation,3.2.1,59.99572014233294,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.549408921040595,37.14007624197984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092319_p4,001,2019_Sep_23_1435,part1_subjective_segmentation,3.2.1,59.99572014233294,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.14007624197984,None,37.14007624197984,None,space,10.149184592009988,42.707091173972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092319_p4,001,2019_Sep_23_1435,part1_subjective_segmentation,3.2.1,59.99572014233294,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.707091173972,None,space,12.432708318985533,52.87445449997904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,092319_p4,001,2019_Sep_23_1435,part1_subjective_segmentation,3.2.1,59.99572014233294,
The 4 questions for each perspective are learned with quizzes in this first part of the experiment. ,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,65.37548457697267,None,space,99.9458872069954,65.37548457697267,None,,,,,,,,,,,,,,,,,,,52.87445449997904,None,52.87445449997904,None,,,,,,,,,,,,,,,,,,,,,,,,,092319_p4,001,2019_Sep_23_1435,part1_subjective_segmentation,3.2.1,59.99572014233294,
