count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,frameRate,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,[43 34 41 32 24 22 13 11 44 14 31 23 21 12 42 33],"['Social' 'Social' 'Location' 'Location' 'Location' 'Social' 'Location'
 'Social' 'Location' 'Social' 'Social' 'Social' 'Location' 'Location'
 'Social' 'Location']",space,0.5886664480000263,space,1.8202042530000426,,,,,,',001,2019_Feb_05_1216,body_behavioural,59.979828303876275,
0,"Simon and Carina noticed each other as they walked into the grocery store at the same time, their carts nearly colliding as they squeezed into the entrance.",1,1,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,None,,,,,',001,2019_Feb_05_1216,body_behavioural,59.979828303876275,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_05_1216,body_behavioural,59.979828303876275,
,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,space,1.2674030379999977,,,',001,2019_Feb_05_1216,body_behavioural,59.979828303876275,
,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,space,0.6519636599999785,,,',001,2019_Feb_05_1216,body_behavioural,59.979828303876275,
,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,space,0.31677786000000197,,,',001,2019_Feb_05_1216,body_behavioural,59.979828303876275,
,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,space,0.4165000030000101,,,',001,2019_Feb_05_1216,body_behavioural,59.979828303876275,
,,,,There is no time limit for your responses. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,space,0.33479621200001475,,,',001,2019_Feb_05_1216,body_behavioural,59.979828303876275,
0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_05_1216,body_behavioural,59.979828303876275,
,,,,The next part of the task is to answer 8 questions about each story.,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,space,0.6506568880000714,',001,2019_Feb_05_1216,body_behavioural,59.979828303876275,
,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,space,0.5013199039999563,',001,2019_Feb_05_1216,body_behavioural,59.979828303876275,
,,,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer them.",,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,space,0.31690580899999077,',001,2019_Feb_05_1216,body_behavioural,59.979828303876275,
,,,,"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,space,0.3340885899999648,',001,2019_Feb_05_1216,body_behavioural,59.979828303876275,
