count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[42 41 23 24 14 13 32 31 43 34 22 12 44 21 11 33],"['Social' 'Location' 'Social' 'Location' 'Social' 'Location' 'Location'
 'Social' 'Location' 'Location' 'Location' 'Social' 'Social' 'Social'
 'Location' 'Social']",[43 34 22 12 44 21 11 33],"['Location' 'Location' 'Location' 'Social' 'Social' 'Social' 'Location'
 'Social']",space,0.6201617390001957,space,0.4697868049997851,space,0.40278610099994694,,,,,,,,,,,',001,2019_Feb_18_1740,body_behavioural,3.0.3,60.035457781888205,
0,David saw Anna for the first time when she burst into the airport with her bag skidding behind her half-zipped. ,1,1,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.20293237499981842,None,,,,,,,,',001,2019_Feb_18_1740,body_behavioural,3.0.3,60.035457781888205,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4033885190001456,,,,,,,,,',001,2019_Feb_18_1740,body_behavioural,3.0.3,60.035457781888205,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.527479835000122,space,1.8369673300003342,,,,,',001,2019_Feb_18_1740,body_behavioural,3.0.3,60.035457781888205,
,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.3702411049998773,,,',001,2019_Feb_18_1740,body_behavioural,3.0.3,60.035457781888205,
,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,space,0.21903068700021322,,,',001,2019_Feb_18_1740,body_behavioural,3.0.3,60.035457781888205,
,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,space,0.1363087549998454,,,',001,2019_Feb_18_1740,body_behavioural,3.0.3,60.035457781888205,
,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,space,0.15334672299968588,,,',001,2019_Feb_18_1740,body_behavioural,3.0.3,60.035457781888205,
,,,,There is no time limit for your responses. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,space,0.15333435000002282,,,',001,2019_Feb_18_1740,body_behavioural,3.0.3,60.035457781888205,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2032578950002062,,,,,,,
