count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_7.keys,key_resp_7.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[41 22 33 13 42 14 34 21 31 23 44 32 11 43 12 24],"['Social' 'Social' 'Social' 'Location' 'Location' 'Social' 'Location'
 'Location' 'Social' 'Location' 'Location' 'Location' 'Location' 'Social'
 'Social' 'Social']",[31 23 44 32 11 43 12 24],"['Social' 'Location' 'Location' 'Location' 'Location' 'Social' 'Social'
 'Social']",space,0.7869329810000636,None,space,0.5858260459999656,,,,,,,,,,,',001,2019_Feb_18_1745,body_behavioural,3.0.3,59.997574658044265,
0,"James noticed Teresa immediately as she walked into the restaurant - or, more accurately as she attempted to walk into the restaurant. ",1,1,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,space,0.3187605989996882,None,,,,,,,,',001,2019_Feb_18_1745,body_behavioural,3.0.3,59.997574658044265,
0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2688469299996541,,,,,,,,,',001,2019_Feb_18_1745,body_behavioural,3.0.3,59.997574658044265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.74095079000017,space,0.7856773970001996,,,,,',001,2019_Feb_18_1745,body_behavioural,3.0.3,59.997574658044265,
,,,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,space,0.2691729309999573,,,',001,2019_Feb_18_1745,body_behavioural,3.0.3,59.997574658044265,
,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,space,0.25211591700008285,,,',001,2019_Feb_18_1745,body_behavioural,3.0.3,59.997574658044265,
,,,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,space,0.21924079200016422,,,',001,2019_Feb_18_1745,body_behavioural,3.0.3,59.997574658044265,
,,,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,space,0.2672965120000299,,,',001,2019_Feb_18_1745,body_behavioural,3.0.3,59.997574658044265,
,,,,There is no time limit for your responses. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,space,0.18581979000009596,,,',001,2019_Feb_18_1745,body_behavioural,3.0.3,59.997574658044265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.48585304799962614,,,,,,,
