count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,[13 41 44 32 24 12 33 21 11 43 42 14 23 22 34 31],"['Location' 'Social' 'Location' 'Location' 'Social' 'Social' 'Social'
 'Location' 'Social' 'Location' 'Social' 'Location' 'Social' 'Location'
 'Social' 'Location']",[11 43 42 14 23 22 34 31],"['Social' 'Location' 'Social' 'Location' 'Social' 'Location' 'Social'
 'Location']",space,0.35507485200105293,space,0.2869551700005104,space,0.4198466150010063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,The grocery store was not the place Emmanuella and Liam wanted to be at the moment considering they had been fighting beforehand to the point where Emmanuella was thinking of breaking up with Liam.,1,1,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.22023497999907704,1,1.1696839699998236,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,"However, they had to go grocery shopping because they were hosting a dinner party for friends that evening and had no groceries. ",1,1,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.23594317999959458,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,The grocery store was dimly lit and had dark wood paneling for all the shelves.,1,1,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.03628754200144613,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,"The store specialized in organic produce and products catering to desires for high-end products, such as imported cheeses and sauces. ",1,1,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.13418081700001494,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,"Emmanuella felt angry as she headed immediately for the pasta section, and Liam trailed behind her. ",2,1,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.10320699499970942,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,Emmanuella selected a few boxes of linguine.,2,1,,,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.1030064950009546,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,"“I guess we are having pasta tonight,” Liam said.",2,1,,,,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.03694714199991722,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,"Emmanuella looked back at him and said, “Well if you were going to actually help cook, I would be fine with something else.”",2,1,,,,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.03405071700035478,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,"Liam sighed, and finally said, “You don’t want me to help.",2,1,,,,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.11979734700071276,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,"I try to, but it seems like I always get in the way!” ",2,1,,,,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.11960534999889205,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,"Emmanuella angrily threw the pasta into the cart, losing her temper.",2,1,,,,0,0,0,0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0030981299987615785,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0," “Liam, you don’t even try!",2,1,,,,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.08600397000009252,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,You know what?,2,1,,,,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.053137154998694314,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,I don’t think I can do this anymore. ,2,2,,,,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.05355162200066843,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
0,"I was going to wait until after this unfortunately-timed dinner party tonight to talk about this, but I might as well say it now: I don’t want to be in a relationship with you anymore.",2,2,,,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.06970313499914482,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_20_1327,body_behavioural,3.0.4,59.99258371655137,
