count,storyText,locationEvent,socialEvent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,from whom,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,frameRate,
0,,,,0,0,0,0,0,0,0,0,,,,,[32 43 23 34 31 11 42 22],"['Social' 'Location' 'Social' 'Location' 'Social' 'Location' 'Social'
 'Location']",02202020,space,0.5029659279971384,space,0.6851271229970735,space,0.6184514419874176,,,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,Mr. Shelton and Mr. Gordon shook hands inside the foyer of the restaurant: lunch today was about big business. ,1,1,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,1,1.4851066230039578,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,Mr. Shelton and Mr. Gordon both were CEOs of airplane manufacturing companies.,1,1,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,9,0.12096766699687578,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,"Mr. Shelton was in charge of a larger, well-established company and had been in the aviation business for decades, whereas Mr. Gordon led a smaller but technologically-advanced company that was projected to disrupt the airplane manufacturing market. ",1,1,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,1,0.06873272199300118,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,"The restaurant they chose to meet at was old and fancy with high ceilings, dark wood paneling, and crystal chandeliers.",1,1,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,9,0.034637491015018895,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,"The waitress led them to their table in the back, and they settled into a private table in the corner by the fireplace. ",2,1,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,1,0.06875555598526262,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,The waitress brought out the menus and they broke the ice with some small talk.,2,1,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,9,0.02226992300711572,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,"Mr. Gordon took out a picture of his daughter and talked about her recent engagement, and Mr. Gordon boasted about his purchase of a Tesla. ",2,1,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,1,0.06727854898781516,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,"They looked at the menus as well, which were full of Italian classics like Carbonara and Tiramisu, and in the back section of the menu was a lengthy drink selection.",2,1,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,1,0.13625402399338782,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,"After awhile, Mr. Shelton brought the conversation around to business.",2,2,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,1,4.31679612598964,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
