count,storyText,locationEvent,socialEvent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,0,0,0,0,0,0,0,0,,,,,[13 23 41 22 44 34 31 12 21 24 42 11 32 14 43 33],"['Location' 'Social' 'Social' 'Location' 'Location' 'Social' 'Location'
 'Social' 'Location' 'Social' 'Social' 'Social' 'Location' 'Location'
 'Location' 'Social']",[21 24 42 11 32 14 43 33],"['Location' 'Social' 'Social' 'Social' 'Location' 'Location' 'Location'
 'Social']",space,0.7362380900012795,space,0.6032343519982533,space,0.5364644229994155,,,',001,2019_Feb_28_1412,body_behavioural,3.0.4,59.98734998788434,
0,The grocery store was not the place Emmanuella and Liam wanted to be at the moment considering they had been fighting beforehand to the point where Emmanuella was thinking of breaking up with Liam.,1,1,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,1,0.7694221899982949,',001,2019_Feb_28_1412,body_behavioural,3.0.4,59.98734998788434,
0,"However, they had to go grocery shopping because they were hosting a dinner party for friends that evening and had no groceries. ",1,1,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,1,0.3528779279986338,',001,2019_Feb_28_1412,body_behavioural,3.0.4,59.98734998788434,
0,The grocery store was dimly lit and had dark wood paneling for all the shelves.,1,1,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,1,0.30276403999960166,',001,2019_Feb_28_1412,body_behavioural,3.0.4,59.98734998788434,
0,"The store specialized in organic produce and products catering to desires for high-end products, such as imported cheeses and sauces. ",1,1,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,1,0.30115101100091124,',001,2019_Feb_28_1412,body_behavioural,3.0.4,59.98734998788434,
0,"Emmanuella felt angry as she headed immediately for the pasta section, and Liam trailed behind her. ",2,1,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,1,0.26954578699951526,',001,2019_Feb_28_1412,body_behavioural,3.0.4,59.98734998788434,
0,Emmanuella selected a few boxes of linguine.,2,1,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,1,0.30201079499966,',001,2019_Feb_28_1412,body_behavioural,3.0.4,59.98734998788434,
0,"“I guess we are having pasta tonight,” Liam said.",2,1,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,1,0.3006510180020996,',001,2019_Feb_28_1412,body_behavioural,3.0.4,59.98734998788434,
0,"Emmanuella looked back at him and said, “Well if you were going to actually help cook, I would be fine with something else.”",2,1,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,1,0.30106298700047773,',001,2019_Feb_28_1412,body_behavioural,3.0.4,59.98734998788434,
0,"Liam sighed, and finally said, “You don’t want me to help.",2,1,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,1,0.2857628300007491,',001,2019_Feb_28_1412,body_behavioural,3.0.4,59.98734998788434,
