count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,13,,0,0,0,0,0,0,0,0,,,,,,,,,[13 24 22 42 44 33 11 31 14 21 32 23 43 12 41 34],"['Location' 'Social' 'Location' 'Social' 'Location' 'Social' 'Social'
 'Location' 'Location' 'Location' 'Location' 'Social' 'Location' 'Social'
 'Social' 'Social']",1,2.7020792650291696,,,',001,2019_Jan_10_1352,body_behavioural,59.65326669855758,
0,Grocery Shopping Breakup,,0,0,0,0,0,1,1,1,,,,,,,,,,,9,0.3510377269703895,,,',001,2019_Jan_10_1352,body_behavioural,59.65326669855758,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,',001,2019_Jan_10_1352,body_behavioural,59.65326669855758,
1,24,,0,1,1,1,0,0,0,0,,,,,,,,,,,1,2.6028363900259137,,,',001,2019_Jan_10_1352,body_behavioural,59.65326669855758,
1,Attending a Lecture Proposal,,0,1,1,1,0,1,1,1,,,,,,,,,,,9,0.8025027400581166,,,',001,2019_Jan_10_1352,body_behavioural,59.65326669855758,
1,,,0,1,1,1,,,,,,,,,,,,,,,,,,,',001,2019_Jan_10_1352,body_behavioural,59.65326669855758,
,,The next part of the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,space,2.2702517199795693,',001,2019_Jan_10_1352,body_behavioural,59.65326669855758,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,space,0.9019046589965001,',001,2019_Jan_10_1352,body_behavioural,59.65326669855758,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,space,0.5991337950108573,',001,2019_Jan_10_1352,body_behavioural,59.65326669855758,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,space,0.5521953050047159,',001,2019_Jan_10_1352,body_behavioural,59.65326669855758,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,space,2.035945796989836,',001,2019_Jan_10_1352,body_behavioural,59.65326669855758,
0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,',001,2019_Jan_10_1352,body_behavioural,59.65326669855758,
1,,,,,,,,,,,,,,,0,1,1,1,,,,,,,',001,2019_Jan_10_1352,body_behavioural,59.65326669855758,
2,,,,,,,,,,,,,,,0,2,2,2,,,,,,,',001,2019_Jan_10_1352,body_behavioural,59.65326669855758,
3,,,,,,,,,,,,,,,0,3,3,3,,,,,,,',001,2019_Jan_10_1352,body_behavioural,59.65326669855758,
4,,,,,,,,,,,,,,,0,4,4,4,,,,,,,',001,2019_Jan_10_1352,body_behavioural,59.65326669855758,
5,,,,,,,,,,,,,,,0,5,5,5,,,,,,,',001,2019_Jan_10_1352,body_behavioural,59.65326669855758,
