count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_correct_perspective,question2_correct_perspective,question3_correct_perspective,question4_correct_perspective,participant,session,date,expName,frameRate,
0,13,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[13 33 22 24 44 31 11 42 21 34 41 12 32 14 23 43],"['Location' 'Social' 'Location' 'Social' 'Location' 'Location' 'Social'
 'Social' 'Social' 'Location' 'Location' 'Location' 'Social' 'Social'
 'Location' 'Social']",1,3.087178513989784,,,,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
0,Grocery Shopping Breakup,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,1,0.5016610559541732,,,,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
1,33,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0.442327463068068,,,,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
1,Grocery Shopping Business Deal,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,1,0.6010366160189733,,,,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
1,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
2,22,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,1,3.2364254919812083,,,,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
2,Airport Proposal,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,1,0.352132037980482,,,,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
2,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
3,24,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0.4369039030279964,,,,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
3,Attending a Lecture Proposal,,0,3,3,3,0,1,1,1,,,,,,,,,,,,,,,,,,,1,0.16784893395379186,,,,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
3,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
,,The next part of the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,33.179192494018935,,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,3.6694256690097973,,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,4.203378155943938,,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,2.517788304015994,,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,1.5517021529376507,,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,They figured out. how they would sing across the sea skies. they laughed as ,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
1,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,Dkjsflksjf ,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
2,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,Ksjflsk ,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
3,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,Ksjflskj,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
4,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,Sdkjfsklj,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
5,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,Lkjf sj,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
6,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,Ksjlfksj,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
7,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,Lkjfslk ,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
8,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,Ksjflksjd ,,,,,,,,,',001,2019_Jan_15_1140,body_behavioural,60.110515711102956,
