count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,participant,session,date,expName,frameRate,
0,24,,,,,0,0,0,0,0,0,0,0,[24 31 12 32 23 11 43 44 42 41 13 33 21 14 22 34],"['Location' 'Location' 'Location' 'Social' 'Social' 'Social' 'Location'
 'Social' 'Social' 'Location' 'Social' 'Location' 'Social' 'Location'
 'Location' 'Social']",1,1.1360136920120567,',001,2019_Jan_15_1246,body_behavioural,59.9156557752544,
0,Attending a Lecture Proposal,,,,,0,0,0,0,0,1,1,1,,,9,0.18489776505157351,',001,2019_Jan_15_1246,body_behavioural,59.9156557752544,
0,,,,,,0,0,0,0,,,,,,,,,',001,2019_Jan_15_1246,body_behavioural,59.9156557752544,
1,31,,,,,0,1,1,1,0,0,0,0,,,1,0.635439882054925,',001,2019_Jan_15_1246,body_behavioural,59.9156557752544,
1,Restaurant Business Deal,,,,,0,1,1,1,0,1,1,1,,,9,0.16864085895940661,',001,2019_Jan_15_1246,body_behavioural,59.9156557752544,
1,,,,,,0,1,1,1,,,,,,,,,',001,2019_Jan_15_1246,body_behavioural,59.9156557752544,
2,12,,,,,0,2,2,2,0,0,0,0,,,1,0.36837119597475976,',001,2019_Jan_15_1246,body_behavioural,59.9156557752544,
2,Airport Breakup,,,,,0,2,2,2,0,1,1,1,,,9,0.10231750400271267,',001,2019_Jan_15_1246,body_behavioural,59.9156557752544,
2,,,,,,0,2,2,2,,,,,,,,,',001,2019_Jan_15_1246,body_behavioural,59.9156557752544,
3,32,,,,,0,3,3,3,0,0,0,0,,,1,0.43507323204539716,',001,2019_Jan_15_1246,body_behavioural,59.9156557752544,
3,Airport Business Deal,,,,,0,3,3,3,0,1,1,1,,,9,0.08559010492172092,',001,2019_Jan_15_1246,body_behavioural,59.9156557752544,
3,,,,,,0,3,3,3,,,,,,,,,',001,2019_Jan_15_1246,body_behavioural,59.9156557752544,
4,23,,,,,0,4,4,4,0,0,0,0,,,1,0.47084940900094807,',001,2019_Jan_15_1246,body_behavioural,59.9156557752544,
4,Grocery shopping Proposal,,,,,0,4,4,4,0,1,1,1,,,9,0.08401088509708643,',001,2019_Jan_15_1246,body_behavioural,59.9156557752544,
4,,,,,,0,4,4,4,,,,,,,,,',001,2019_Jan_15_1246,body_behavioural,59.9156557752544,
5,"Thomas got to Annika’s Finer Diner early, dreading the conversation he was about to have.",1,1,None,None,0,5,5,5,0,0,0,0,,,1,6.52095272007864,',001,2019_Jan_15_1246,body_behavioural,59.9156557752544,
