count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,frameRate,
0,42,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[42 12 41 23 33 11 24 34 32 13 22 44 31 14 43 21],"['Location' 'Social' 'Social' 'Location' 'Social' 'Location' 'Social'
 'Location' 'Location' 'Location' 'Social' 'Location' 'Social' 'Social'
 'Social' 'Location']",1,1.7882409469457343,,,,,,,',001,2019_Jan_18_1325,body_behavioural,60.0274693102125,
0,Airport Meet Cute,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.43471925996709615,,,,,,,',001,2019_Jan_18_1325,body_behavioural,60.0274693102125,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_18_1325,body_behavioural,60.0274693102125,
,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,1.08552838396281,,,,,',001,2019_Jan_18_1325,body_behavioural,60.0274693102125,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,1.4357122699730098,,,,,',001,2019_Jan_18_1325,body_behavioural,60.0274693102125,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.5853286650963128,,,,,',001,2019_Jan_18_1325,body_behavioural,60.0274693102125,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.6013027720618993,,,,,',001,2019_Jan_18_1325,body_behavioural,60.0274693102125,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.7346210289979354,,,,,',001,2019_Jan_18_1325,body_behavioural,60.0274693102125,
0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,',001,2019_Jan_18_1325,body_behavioural,60.0274693102125,
,,The next part of the task is to answer questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,space,1.8178858540486544,,,',001,2019_Jan_18_1325,body_behavioural,60.0274693102125,
,,The next part of the task is to answer questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,',001,2019_Jan_18_1325,body_behavioural,60.0274693102125,
,,You will be asked the questions you were asked to remember for the job simulated during each story.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,space,0.5185284160543233,,,',001,2019_Jan_18_1325,body_behavioural,60.0274693102125,
,,You will be asked the questions you were asked to remember for the job simulated during each story.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,',001,2019_Jan_18_1325,body_behavioural,60.0274693102125,
,,You will also be asked questions that we didn’t tell you to think of for that story.,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,space,0.6852776509476826,,,',001,2019_Jan_18_1325,body_behavioural,60.0274693102125,
,,You will also be asked questions that we didn’t tell you to think of for that story.,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,',001,2019_Jan_18_1325,body_behavioural,60.0274693102125,
,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer all these questions. ",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,space,0.586698264000006,,,',001,2019_Jan_18_1325,body_behavioural,60.0274693102125,
,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer all these questions. ",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,',001,2019_Jan_18_1325,body_behavioural,60.0274693102125,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,space,0.5350968630518764,,,',001,2019_Jan_18_1325,body_behavioural,60.0274693102125,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,',001,2019_Jan_18_1325,body_behavioural,60.0274693102125,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9009929539170116,,,,,,
