count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,frameRate,
0,23,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[23 11 44 21 13 32 34 42 22 31 14 41 33 43 12 24],"['Location' 'Location' 'Social' 'Social' 'Social' 'Social' 'Location'
 'Location' 'Location' 'Location' 'Location' 'Social' 'Social' 'Location'
 'Social' 'Social']",1,1.3192350280005485,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
0,Grocery shopping Proposal,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.20206739997956902,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"Thomas got to Annika’s Finer Diner early, dreading the conversation he was about to have.",1,1,None,None,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0.8180956810247153,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,The restaurant had a kitschy charm and was reminiscent of a diner from the 70’s. ,1,1,None,None,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,1,0.8016738230362535,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"A bell chimed as the door swung open, and Sadie entered to find him deep in thought on a bench by the door.",1,1,None,None,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,1,0.10211905906908214,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1, Thomas jumped up and gave her a side hug. ,1,1,None,None,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,1,0.13443514402024448,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,“How was your day?” he asked.,1,1,None,None,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,1,0.11763186799362302,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,"She clung onto him, “It was okay. I missed you today.”",1,1,None,None,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,1,0.11745101492851973,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
1,He looked at the hostess coming toward them.,1,1,None,None,,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,,,,,1,0.13465361099224538,,,,,,,',001,2019_Jan_18_1327,body_behavioural,59.99391541127639,
