count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,recall,question1_correct_perspective,question2_correct_perspective,question3_correct_perspective,question4_correct_perspective,participant,session,date,expName,frameRate,
0,24,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[24 41 22 32 43 11 13 34 31 33 14 42 21 12 23 44],"['Social' 'Location' 'Location' 'Social' 'Social' 'Social' 'Location'
 'Location' 'Location' 'Social' 'Social' 'Social' 'Social' 'Location'
 'Location' 'Location']",1,0.4184713859576732,,,,,,,,,,,,',001,2019_Jan_18_1329,body_behavioural,59.9408350703509,
0,Attending a Lecture Proposal,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.9176993529545143,,,,,,,,,,,,',001,2019_Jan_18_1329,body_behavioural,59.9408350703509,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_18_1329,body_behavioural,59.9408350703509,
,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,1.3016151689225808,,,,,,,,,,',001,2019_Jan_18_1329,body_behavioural,59.9408350703509,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,1.7865910810651258,,,,,,,,,,',001,2019_Jan_18_1329,body_behavioural,59.9408350703509,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.48483038297854364,,,,,,,,,,',001,2019_Jan_18_1329,body_behavioural,59.9408350703509,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.3859425999689847,,,,,,,,,,',001,2019_Jan_18_1329,body_behavioural,59.9408350703509,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.3350891569862142,,,,,,,,,,',001,2019_Jan_18_1329,body_behavioural,59.9408350703509,
0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_18_1329,body_behavioural,59.9408350703509,
,,The next part of the task is to answer questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,space,0.7350628729909658,,,,,,,,',001,2019_Jan_18_1329,body_behavioural,59.9408350703509,
,,The next part of the task is to answer questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_18_1329,body_behavioural,59.9408350703509,
,,You will be asked the questions you were asked to remember for the job simulated during each story.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,space,0.35160171892493963,,,,,,,,',001,2019_Jan_18_1329,body_behavioural,59.9408350703509,
,,You will be asked the questions you were asked to remember for the job simulated during each story.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_18_1329,body_behavioural,59.9408350703509,
,,You will also be asked questions that we didn’t tell you to think of for that story.,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,space,0.3686936949379742,,,,,,,,',001,2019_Jan_18_1329,body_behavioural,59.9408350703509,
,,You will also be asked questions that we didn’t tell you to think of for that story.,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_18_1329,body_behavioural,59.9408350703509,
,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer all these questions. ",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,space,0.43495398201048374,,,,,,,,',001,2019_Jan_18_1329,body_behavioural,59.9408350703509,
,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer all these questions. ",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_18_1329,body_behavioural,59.9408350703509,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,space,0.47044123604428023,,,,,,,,',001,2019_Jan_18_1329,body_behavioural,59.9408350703509,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,',001,2019_Jan_18_1329,body_behavioural,59.9408350703509,
0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,space,0.6348247879650444,,,,,,',001,2019_Jan_18_1329,body_behavioural,59.9408350703509,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9512804800178856,,,,,,,,,,,
