count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,recall,question1_correct_perspective,question2_correct_perspective,question3_correct_perspective,question4_correct_perspective,participant,session,date,expName,frameRate,
0,"Calvin and Jessie were running late to the airport, and Jessie was fuming at Calvin and ready to end things with him.",1,1,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[12 22 33 43 21 34 11 44 23 42 32 24 31 41 13 14],"['Social' 'Location' 'Location' 'Social' 'Social' 'Social' 'Location'
 'Location' 'Location' 'Social' 'Location' 'Social' 'Social' 'Location'
 'Social' 'Location']",1,0.41781711496878415,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0,When they entered the airport they had only 45 minutes until their international flight would depart from Jamaica for the US.,1,1,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,1,0.1684398000361398,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0,"It had been a tough vacation for them, argument-filled and tense from the minute they had landed.",1,1,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,1,0.10246767394710332,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0," Jessie had really had it with Calvin’s constant ramblings about the same excruciatingly boring golfing and work stories, which he insisted on repeating to her regardless of how little interest she showed.",1,1,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,1,0.09199429396539927,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0,"Calvin knew that Jessie was upset, but wasn't sure what to do besides attempting to keep his mouth shut for the time being. ",1,1,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,1,0.08511824207380414,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0," The security line was luckily very short, and once the online boarding passes were scanned, they were ushered quickly through the metal detector, not having to take off their shoes or remove their liquids from their bags.",2,1,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,1,0.07154481601901352,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0,"“The infrastructure of this airport is really quite poor," said Calvin as they waited for their bags to emerge from the x-ray machine.",2,1,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,1,0.06729035603348166,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0,"I really could've hidden something in my shoes quite easily.” ,2,1,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,1,0.10151963797397912,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0,"Jessie scowled at the conveyor belt, exasperated at his need to broadcast his every inner thought to the world.",2,1,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,1,0.10103890602476895,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0,“What?” he said.,2,1,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,1,0.13437647302635014,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
0,She balled up her fists and turned to face him.,2,1,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,1,0.11847568396478891,,,,,,,,,,,,',001,2019_Jan_18_1337,body_behavioural,59.718614493873304,
