count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,key_resp_5.keys,key_resp_5.rt,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,frameRate,
0,"Sven and Isabel walked hurriedly from the cab into the Barcelona Airport after an incredible weekend with Isabel’s family, which had wiped away any doubts Sven had had about his decision to propose. ",1,1,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[22 32 41 24 13 11 43 34 42 14 33 31 21 23 44 12],"['Location' 'Social' 'Location' 'Social' 'Location' 'Social' 'Social'
 'Location' 'Location' 'Location' 'Location' 'Social' 'Location' 'Social'
 'Social' 'Social']",space,36.931074787979014,1,6.818015952943824,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,"They were a little pressed for time, with only a little over an hour until their flight would take off to go back to the US, but they already had their online boarding passes and no checked luggage. ",1,1,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,1,0.16931573301553726,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,"When Isabel stopped to rummage through her purse looking for her phone, Sven turned his back to her and took the velvet box out of his backpack, opening it to look at the ring he bought her.",1,2,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,1,0.502334579010494,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,"He had received her parents’ blessing during the trip, and he was almost giddy with excitement. ",1,2,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,1,0.3349699340760708,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,"He tilted the ring backward and forward, despite having already studied it daily since he had purchased it a few weeks ago. ",1,2,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,1,0.28519356006290764,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,"It was a simple design, with a clear, white diamond on a thin silver band.",1,2,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,1,0.20029131893534213,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,"“Sven, let’s go! ” Isabel said. ",1,2,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,1,0.11738858709577471,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,Sven discretely closed the box and put it in his pocket.,1,2,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,1,0.1675900489790365,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0," They entered the security line, weaving through the roped walkways to the front. ",2,2,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,1,0.15149484004359692,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,"When they were up, Isabel realized her laptop was buried somewhere in her bag. ",2,2,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,1,0.12329481798224151,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,Sven had to hold the growing mound of objects she pulled from her bag until she unearthed the laptop.,2,2,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,1,0.1357279799412936,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,She set it into a bin and then had to unstrap her heels and put everything else into the bins.,2,2,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,1,0.1360374219948426,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,"Finally, she relieved Sven of his holding duties, and he hurriedly deposited his own backpack on the belt as the people behind them glared. ",2,2,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,1,2.4184782480588183,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,"Sven went into the millimeter wave scanner after Isabel, put his hands up, and the metal bars whirled around him.",2,2,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,1,0.9856506249634549,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0," “Sir, please step to the side.",2,2,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,1,0.31878064409829676,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
0,"You need to empty your pockets,” the security guard said.",2,2,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,1,0.2181792699266225,,,,,,,,,,,,,,,,,',001,2019_Jan_23_1256,body_behavioural,60.02940287699386,
