count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instructText,order of stories,order of perspectives,key_resp_5.keys,key_resp_5.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,frameRate,
0,"Sven and Isabel walked hurriedly from the cab into the Barcelona Airport after an incredible weekend with Isabel’s family, which had wiped away any doubts Sven had had about his decision to propose. ",1,1,,,0,0,0,0,0,0,0,0,,,,,,[22 11 32 24 43 13 34 41 33 12 42 21 31 23 44 14],"['Social' 'Location' 'Location' 'Location' 'Location' 'Social' 'Social'
 'Social' 'Location' 'Social' 'Location' 'Location' 'Social' 'Social'
 'Social' 'Location']",space,0.47214203899989116,9,4.7853376199998365,',001,2019_Jan_28_1139,body_behavioural,60.08233274319738,
0,"They were a little pressed for time, with only a little over an hour until their flight would take off to go back to the US, but they already had their online boarding passes and no checked luggage. ",1,1,,,0,0,0,0,0,1,1,1,,,,,,,,,,1,0.602067093000187,',001,2019_Jan_28_1139,body_behavioural,60.08233274319738,
0,"When Isabel stopped to rummage through her purse looking for her phone, Sven turned his back to her and took the velvet box out of his backpack, opening it to look at the ring he bought her.",1,2,,,0,0,0,0,0,2,2,2,,,,,,,,,,1,0.4186189810000087,',001,2019_Jan_28_1139,body_behavioural,60.08233274319738,
0,"He had received her parents’ blessing during the trip, and he was almost giddy with excitement. ",1,2,,,0,0,0,0,0,3,3,3,,,,,,,,,,1,0.3025298860000021,',001,2019_Jan_28_1139,body_behavioural,60.08233274319738,
0,"He tilted the ring backward and forward, despite having already studied it daily since he had purchased it a few weeks ago. ",1,2,,,0,0,0,0,0,4,4,4,,,,,,,,,,1,0.18486587600000348,',001,2019_Jan_28_1139,body_behavioural,60.08233274319738,
0,"It was a simple design, with a clear, white diamond on a thin silver band.",1,2,,,0,0,0,0,0,5,5,5,,,,,,,,,,1,0.23497662700015098,',001,2019_Jan_28_1139,body_behavioural,60.08233274319738,
0,"“Sven, let’s go! ” Isabel said. ",1,2,,,0,0,0,0,0,6,6,6,,,,,,,,,,1,0.6016933949999839,',001,2019_Jan_28_1139,body_behavioural,60.08233274319738,
0,Sven discretely closed the box and put it in his pocket.,1,2,,,0,0,0,0,0,7,7,7,,,,,,,,,,9,0.10063479999985248,',001,2019_Jan_28_1139,body_behavioural,60.08233274319738,
0," They entered the security line, weaving through the roped walkways to the front. ",2,2,,,0,0,0,0,0,8,8,8,,,,,,,,,,9,0.15679196499991122,',001,2019_Jan_28_1139,body_behavioural,60.08233274319738,
0,"When they were up, Isabel realized her laptop was buried somewhere in her bag. ",2,2,,,0,0,0,0,0,9,9,9,,,,,,,,,,9,0.16796522300001016,',001,2019_Jan_28_1139,body_behavioural,60.08233274319738,
0,Sven had to hold the growing mound of objects she pulled from her bag until she unearthed the laptop.,2,2,,,0,0,0,0,0,10,10,10,,,,,,,,,,9,0.03519585499998357,',001,2019_Jan_28_1139,body_behavioural,60.08233274319738,
0,She set it into a bin and then had to unstrap her heels and put everything else into the bins.,2,2,,,0,0,0,0,0,11,11,11,,,,,,,,,,9,0.0881588009999632,',001,2019_Jan_28_1139,body_behavioural,60.08233274319738,
0,"Finally, she relieved Sven of his holding duties, and he hurriedly deposited his own backpack on the belt as the people behind them glared. ",2,2,,,0,0,0,0,0,12,12,12,,,,,,,,,,None,,',001,2019_Jan_28_1139,body_behavioural,60.08233274319738,
0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,',001,2019_Jan_28_1139,body_behavioural,60.08233274319738,
1,"Thomas, dreading the conversation he was about to have, got to Annika’s Finer Diner early.",1,1,None,None,0,1,1,1,0,0,0,0,,,,,,,,None,,None,,',001,2019_Jan_28_1139,body_behavioural,60.08233274319738,
1,,,,,,0,1,1,1,,,,,,,,,,,,,,,,',001,2019_Jan_28_1139,body_behavioural,60.08233274319738,
