count,storyText,locationEvent,socialEvent,story,locationEventSize,socialEventSize,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,,0,0,0,0,0,0,0,0,,,,,[33 21 34 12 11 22 44 43 23 32 14 24 31 13 41 42],"['Location' 'Social' 'Social' 'Social' 'Location' 'Location' 'Location'
 'Social' 'Social' 'Social' 'Social' 'Location' 'Location' 'Location'
 'Social' 'Location']",[23 32 14 24 31 13 41 42],"['Social' 'Social' 'Social' 'Location' 'Location' 'Location' 'Social'
 'Location']",space,0.6208341140300035,space,0.48616216803202406,space,0.7341371519723907,,,',001,2019_Jun_13_1158,body_behavioural,3.0.4,59.93516885522754,
0,"Ms. Bianchi and Ms. Morrison walked into the grocery store at the same time, and, after a moment of mutual recognition, greeted each other with a handshake.",1.0,1.0,33.0,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,9,7.337019085010979,',001,2019_Jun_13_1158,body_behavioural,3.0.4,59.93516885522754,
0,"They were standing in the entrance of the grocery store, which had displays of pumpkins, candy, and halloween decorations set up in different stations around the door. ",1.0,1.0,None,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,9,0.750526807969436,',001,2019_Jun_13_1158,body_behavioural,3.0.4,59.93516885522754,
0,"“Thank you again for inviting me here to discuss my business proposal,” said Ms. Bianchi.",1.0,1.0,None,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,9,0.3529374760109931,',001,2019_Jun_13_1158,body_behavioural,3.0.4,59.93516885522754,
0,“It’s a pleasure to be out of the office.” ,1.0,1.0,None,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,9,0.26911161496536806,',001,2019_Jun_13_1158,body_behavioural,3.0.4,59.93516885522754,
0,"As an account representative for an Italian cheese company that was trying to expand its outreach to American grocery stores, this meeting was pivotal for Ms. Bianchi.",1.0,1.0,None,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,None,,',001,2019_Jun_13_1158,body_behavioural,3.0.4,59.93516885522754,
0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_13_1158,body_behavioural,3.0.4,59.93516885522754,
1,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,space,1.4858335200115107,space,0.5022502210340463,space,1.134002779959701,,,',001,2019_Jun_13_1158,body_behavioural,3.0.4,59.93516885522754,
1,"Alvira and Senna walked into the restaurant hand in sweaty hand with quite different expectations for the night because Senna, after 5 years of dating, was going to propose, and Alvira had no idea.",1.0,1.0,21.0,None,None,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,None,,',001,2019_Jun_13_1158,body_behavioural,3.0.4,59.93516885522754,
1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_13_1158,body_behavioural,3.0.4,59.93516885522754,
,,,,,,,,,,,,,,,,,,,,,,,space,0.9859896900015883,space,0.7027987319743261,space,1.4529307720367797,,,,,,,,,
