count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,story,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instructText,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,[21 12 33 13 32 44 24 41 11 14 42 31 22 23 34 43],"['Social' 'Social' 'Social' 'Location' 'Location' 'Social' 'Location'
 'Location' 'Location' 'Social' 'Social' 'Social' 'Location' 'Social'
 'Location' 'Location']",[11 14 42 31 22 23 34 43],"['Location' 'Social' 'Social' 'Social' 'Location' 'Social' 'Location'
 'Location']",space,0.3700310420244932,space,0.1841054999968037,space,0.9524515100056306,,,,,,,,,',001,2019_Jun_13_1219,body_behavioural,3.0.4,59.93957071153539,
0,"Alvira and Senna walked into the restaurant hand in sweaty hand with quite different expectations for the night because Senna, after 5 years of dating, was going to propose, and Alvira had no idea.",1.0,1.0,None,None,21.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,space,0.31922340899473056,space,0.35229933401569724,None,,,,',001,2019_Jun_13_1219,body_behavioural,3.0.4,59.93957071153539,
0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_13_1219,body_behavioural,3.0.4,59.93957071153539,
1,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,space,0.30280465696705505,space,0.3841137629933655,space,0.5524246660061181,,,,,,,,,',001,2019_Jun_13_1219,body_behavioural,3.0.4,59.93957071153539,
1,"It didn’t help the situation that Calvin and Jessie were running late to the airport, since Jessie had already been fuming at Calvin and preparing to end the relationship with him.",1,1,,,12.0,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,space,0.1862965949694626,space,0.7525170899461955,None,,,,',001,2019_Jun_13_1219,body_behavioural,3.0.4,59.93957071153539,
1,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_13_1219,body_behavioural,3.0.4,59.93957071153539,
2,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,space,0.652435477997642,space,0.36944665998453274,space,0.4024991000187583,,,,,,,,,',001,2019_Jun_13_1219,body_behavioural,3.0.4,59.93957071153539,
2,"Ms. Bianchi and Ms. Morrison walked into the grocery store at the same time, and, after a moment of mutual recognition, greeted each other with a handshake.",1.0,1.0,,,33.0,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,space,0.5173552880296484,space,0.46940554899629205,None,,,,',001,2019_Jun_13_1219,body_behavioural,3.0.4,59.93957071153539,
2,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_13_1219,body_behavioural,3.0.4,59.93957071153539,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.360286107985303,space,0.4523457469767891,',001,2019_Jun_13_1219,body_behavioural,3.0.4,59.93957071153539,
