count,storyText,locationEvent,socialEvent,story,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[41 33 24 42 34 23 12 11 14 21 22 43 44 31 13 32],"['Location' 'Location' 'Location' 'Social' 'Social' 'Social' 'Location'
 'Social' 'Social' 'Location' 'Social' 'Social' 'Location' 'Social'
 'Location' 'Location']",[14 21 22 43 44 31 13 32],"['Social' 'Location' 'Social' 'Social' 'Location' 'Social' 'Location'
 'Location']",space,0.5374612910090946,space,0.21976097696460783,space,0.1368433850002475,,,,,,,,,,,,,,',001,2019_Jun_13_1222,body_behavioural,3.0.4,59.998051263822624,
0,"James noticed Teresa immediately as she walked into the restaurant - or, more accurately, as she attempted to walk into the restaurant. ",1,1,41.0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.23588227399159223,space,0.45279703597771004,None,,,,,,,,,',001,2019_Jun_13_1222,body_behavioural,3.0.4,59.998051263822624,
0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_13_1222,body_behavioural,3.0.4,59.998051263822624,
1,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,space,0.5028580860234797,None,,space,0.8023213749984279,,,,,,,,,,,,,,',001,2019_Jun_13_1222,body_behavioural,3.0.4,59.998051263822624,
1,"Ms. Bianchi and Ms. Morrison walked into the grocery store at the same time, and, after a moment of mutual recognition, greeted each other with a handshake.",1.0,1.0,33.0,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.419383981032297,space,0.5528587480075657,None,,,,,,,,,',001,2019_Jun_13_1222,body_behavioural,3.0.4,59.998051263822624,
1,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_13_1222,body_behavioural,3.0.4,59.998051263822624,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.373564812995028,space,1.102543123997748,,,,,,',001,2019_Jun_13_1222,body_behavioural,3.0.4,59.998051263822624,
,,,,,"In this next part of the experiment, please recall each story to the best of your ability.",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,space,3.536024796019774,,,,',001,2019_Jun_13_1222,body_behavioural,3.0.4,59.998051263822624,
,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,space,8.720180565025657,,,,',001,2019_Jun_13_1222,body_behavioural,3.0.4,59.998051263822624,
,,,,,Describe the story indicated with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,space,2.119312627997715,,,,',001,2019_Jun_13_1222,body_behavioural,3.0.4,59.998051263822624,
,,,,,"When you are finished recalling one story, to move onto the next one, press the ‘return’ key. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,space,4.353463968029246,,,,',001,2019_Jun_13_1222,body_behavioural,3.0.4,59.998051263822624,
,,,,,There is a 5 minute time limit to make your response. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,space,3.671323129965458,,,,',001,2019_Jun_13_1222,body_behavioural,3.0.4,59.998051263822624,
0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.6363851540372707,"Mnm,n,vkfdjroption.. kdsjfkfljksdfjk!! jdkjfk! kjdslkfjsd",',001,2019_Jun_13_1222,body_behavioural,3.0.4,59.998051263822624,
1,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,space,2.236545871011913,,',001,2019_Jun_13_1222,body_behavioural,3.0.4,59.998051263822624,
2,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,space,0.6525961980223656,,',001,2019_Jun_13_1222,body_behavioural,3.0.4,59.998051263822624,
