count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,story,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[21 33 14 31 42 44 12 23 13 22 24 34 41 11 32 43],"['Social' 'Social' 'Location' 'Location' 'Location' 'Social' 'Social'
 'Location' 'Social' 'Location' 'Social' 'Location' 'Social' 'Location'
 'Social' 'Location']",[13 22 24 34 41 11 32 43],"['Social' 'Location' 'Social' 'Location' 'Social' 'Location' 'Social'
 'Location']",space,0.43720552301965654,space,0.30250457202782854,space,1.9526889230473898,,,,,,,,,,,,,',001,2019_Jun_13_1226,body_behavioural,3.0.4,59.93747693453657,
0,"Alvira and Senna walked into the restaurant hand in sweaty hand with quite different expectations for the night because Senna, after 5 years of dating, was going to propose, and Alvira had no idea.",1.0,1.0,None,None,21.0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.25324090995127335,space,0.6360272369929589,None,,,,,,,,',001,2019_Jun_13_1226,body_behavioural,3.0.4,59.93747693453657,
0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_13_1226,body_behavioural,3.0.4,59.93747693453657,
1,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,space,0.3027485380298458,None,,space,0.752910011971835,,,,,,,,,,,,,',001,2019_Jun_13_1226,body_behavioural,3.0.4,59.93747693453657,
1,"Ms. Bianchi and Ms. Morrison walked into the grocery store at the same time, and, after a moment of mutual recognition, greeted each other with a handshake.",1.0,1.0,,,33.0,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.2362881989683956,space,0.33685449103359133,None,,,,,,,,',001,2019_Jun_13_1226,body_behavioural,3.0.4,59.93747693453657,
1,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_13_1226,body_behavioural,3.0.4,59.93747693453657,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.890732779051177,space,0.635958970990032,,,,,',001,2019_Jun_13_1226,body_behavioural,3.0.4,59.93747693453657,
,,,,,,,"In this next part of the experiment, please recall each story to the best of your ability.",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,space,1.8674792899983004,,,',001,2019_Jun_13_1226,body_behavioural,3.0.4,59.93747693453657,
,,,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,space,1.6528043380239978,,,',001,2019_Jun_13_1226,body_behavioural,3.0.4,59.93747693453657,
,,,,,,,Describe the story indicated with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,space,0.8860722879762761,,,',001,2019_Jun_13_1226,body_behavioural,3.0.4,59.93747693453657,
,,,,,,,"When you are finished recalling one story, to move onto the next one, press the ‘return’ key. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,space,0.8689870979869738,,,',001,2019_Jun_13_1226,body_behavioural,3.0.4,59.93747693453657,
,,,,,,,There is a 5 minute time limit to make your response. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,space,0.8690982580301352,,,',001,2019_Jun_13_1226,body_behavioural,3.0.4,59.93747693453657,
,,,,,,,(Please note that you will not be able to capitalize any letters except for the first letter of your answer. This will not effect the scoring of your recall answer),,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,space,8.520476381992921,,,',001,2019_Jun_13_1226,body_behavioural,3.0.4,59.93747693453657,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.5862340399762616,,,,,,,
