count,storyText,locationEvent,socialEvent,story,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,[14 21 43 33 24 42 32 11 41 31 12 13 34 23 22 44],"['Location' 'Location' 'Location' 'Social' 'Social' 'Social' 'Location'
 'Social' 'Location' 'Social' 'Location' 'Social' 'Location' 'Location'
 'Social' 'Social']",[41 31 12 13 34 23 22 44],"['Location' 'Social' 'Location' 'Social' 'Location' 'Location' 'Social'
 'Social']",space,0.41727307194378227,space,0.40302579500712454,space,0.8861397290602326,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
0,Henry walked into lecture with Maria who was mentally rehearsing what she should say to break up with him.,1,1,14.0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2529689520597458,space,0.2527116780402139,None,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.443762787966989,space,0.2861674960004166,,,,,,,,,,,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
,,,,,"In this next part of the experiment, please recall each story to the best of your ability.",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.750939863966778,,,,,,,,,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.7861614939756691,,,,,,,,,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
,,,,,Describe the story indicated with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.002847205963917,,,,,,,,,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
,,,,,"When you are finished recalling one story, to move onto the next one, press the ‘return’ key. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.6029442460276186,,,,,,,,,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
,,,,,There is a 5 minute time limit to make your response. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.252585474983789,,,,,,,,,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
,,,,,Please note that you will not be able to capitalize any letters except for the first letter of your answer. This will not effect the scoring of your recall answer.,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.6026960300514475,,,,,,,,,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
