count,storyText,locationEvent,socialEvent,story,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,[42 41 12 23 34 11 24 33 43 13 31 44 21 14 22 32],"['Social' 'Location' 'Location' 'Social' 'Social' 'Social' 'Location'
 'Location' 'Location' 'Social' 'Location' 'Social' 'Social' 'Location'
 'Location' 'Social']",[43 13 31 44 21 14 22 32],"['Location' 'Social' 'Location' 'Social' 'Social' 'Location' 'Location'
 'Social']",space,0.48810452898032963,None,space,0.7029644710710272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1952,body_behavioural,3.0.4,59.96989237148691,
0,David saw Anna for the first time when she burst into the airport frazzled with her half-zipped bag skidding behind her.,1,1,42.0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3007352469721809,space,0.6866377349942923,None,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1952,body_behavioural,3.0.4,59.96989237148691,
0,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1952,body_behavioural,3.0.4,59.96989237148691,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.155038528027944,space,0.4031616640277207,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1952,body_behavioural,3.0.4,59.96989237148691,
,,,,,"In this next part of the experiment, please recall each story to the best of your ability.",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6023033130913973,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1952,body_behavioural,3.0.4,59.96989237148691,
,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.43420566397253424,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1952,body_behavioural,3.0.4,59.96989237148691,
,,,,,Describe the story indicated with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3199230449972674,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1952,body_behavioural,3.0.4,59.96989237148691,
,,,,,"When you are finished recalling one story, to move onto the next one, press the ‘return’ key. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4174005570821464,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1952,body_behavioural,3.0.4,59.96989237148691,
,,,,,There is a 5 minute time limit to make your response. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7840395349776372,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1952,body_behavioural,3.0.4,59.96989237148691,
,,,,,Please note that you will not be able to capitalize any letters except for the first letter of your answer. This will not effect the scoring of your recall answer.,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4694747750181705,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_16_1952,body_behavioural,3.0.4,59.96989237148691,
