count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,story,socialAnswer,locationAnswer,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story_presses.rt,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,[21 11 44 23 13 42 32 34 22 24 41 33 31 14 43 12],"['Social' 'Location' 'Location' 'Location' 'Social' 'Social' 'Location'
 'Social' 'Social' 'Location' 'Social' 'Social' 'Location' 'Social'
 'Location' 'Location']",[22 24 41 33 31 14 43 12],"['Social' 'Location' 'Social' 'Social' 'Location' 'Social' 'Location'
 'Location']",space,0.3049298800000315,space,0.35344606499995734,space,0.4370023550000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,"Alvira and Senna walked into the restaurant hand in sweaty hand with quite different expectations for the night because Senna, after 5 years of dating, was going to propose, and Alvira had no idea.",1.0,1.0,None,None,21.0,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7034490029999461,space,0.9859250719999864,1,3.0861182329999792,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,"He took a deep breath, trying to calm his nerves as worst case scenarios ran through his mind. ",1.0,1.0,None,None,None,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0368617379999705,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,The restaurant was on the beach and had floor-to-ceiling arched windows that framed an incredible view of the Pacific Ocean.,1.0,1.0,None,None,None,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.1871602219999886,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,"Besides the view, the restaurant itself was beautiful- crystal chandeliers hung from the high ceiling above small tables covered with white table clothes.
",1.0,1.0,None,None,None,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.1552199399999381,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,This was surely one of the best restaurants on the West Coast.,1.0,1.0,None,None,None,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.1028847869999936,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,"After Senna gave his name to the host, who discretely winked at Senna, they were seated at a table right by the window. ",2.0,1.0,7.0,None,None,,,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.08705822000001717,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,The waiter brought out some very small menus.,2.0,1.0,None,9.0,None,,,,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.036821349999968334,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,"They consisted of a short list of the head chef's carefully selected daily dishes written in a loopy, cursive font unadorned by any mention of prices.",None,None,None,None,None,,,,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.020396610000034343,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,"Senna got nervous about the ring, and he slipped off to the bathroom to check to make sure it looked alright.",2.0,2.0,None,None,None,,,,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.06973590500001592,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,The ring contained three canary yellow diamonds that had been in his grandmother’s wedding ring. ,2.0,2.0,None,None,None,,,,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.10349881799993454,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,"After Senna had gotten back to the table, the waiter appeared at their table to take their order.",3.0,2.0,None,None,None,,,,0,0,0,0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.08627092500000799,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,"Senna ordered the oysters with garlic-parmesan sauce, and Alvira ordered the sauteed sea scallops with caramelized apples. ",3.0,2.0,None,None,None,,,,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.003892042999950718,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,"“Excellent choices,” the waiter said, and he left.",3.0,2.0,None,None,None,,,,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.053500383999903534,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,"“What a beautiful place, Senna. ",3.0,2.0,None,None,None,,,,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.10351875800006383,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,"This is too much just to celebrate the first tomatoes I grew in the garden- really, this is absurd,” Alvira said.",3.0,2.0,None,None,None,,,,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.11997365000001992,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,"Senna laughed and said, “No, those were really the best tomatoes I’ve ever had. ",3.0,2.0,None,None,None,,,,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.16748228000005838,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,We had to celebrate.” ,3.0,2.0,None,None,None,,,,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0534895079999842,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,"They talked and laughed as the sun sank below the horizon, lighting up the sky and water, and slowly the glow from the windows was replaced by the chandeliers.",3.0,2.0,8.0,None,None,,,,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.20313149499997962,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,The waiter returned with their dishes.,4.0,2.0,None,None,None,,,,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.050619987000004585,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,"Everything was even more delicious than they had expected, especially the oysters, which Senna said tasted like the ocean. ",4.0,2.0,None,None,None,,,,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.07044828699997652,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0," As they were eating, Senna recounted to Alvira how they had met, and he told her in many words how much he loved her and what he loved about her, almost tearing up at moments. ",4.0,2.0,None,None,None,,,,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.1031086849999383,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,"When they had finished eating, Senna nodded at the waiter who had been watching attentively, and he quickly strode over to place a small, elegant cake topped with the ring in front of Alvira. ",4.0,3.0,None,None,None,,,,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.38404380700001184,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,Her eyes widened in shock when she realized what she was looking at.,4.0,3.0,None,None,None,,,,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.4204581179999423,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,"Senna got down on one knee and said,“Alvira, will you marry me? ",4.0,3.0,None,None,None,,,,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.01977056700002322,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,"I love you, and I will never stop loving you.” ",4.0,3.0,None,None,None,,,,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.08920982300003288,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,"After a few moments with everyone turned and looking at Elvira in expectation, she exclaimed, “Yes, of course, yes!”",4.0,4.0,None,None,None,,,,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.12227654800005894,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,She hugged Senna with tears flowing down her cheeks. ,4.0,4.0,None,None,None,,,,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.08661227699997198,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,"The other guests exploded in applause, and the waiter returned with a bottle of champagne and popped it.",4.0,4.0,None,None,None,,,,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.10348762199998873,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,Senna slipped the ring onto Alvira’s finger and she held up her hand to admire it.,4.0,4.0,None,None,None,,,,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.01991113700000824,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,“I need to text my dad and tell him!” she sang. ,4.0,4.0,None,None,None,,,,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.03697589800003698,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,The whole restaurant proceeded in cheers with them to celebrate the joyous occasion.  ,4.0,4.0,None,None,None,,,,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.05325312499996926,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
1,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6690090900000314,space,0.319089493999968,space,0.4189370000000281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
1,,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8363493479999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
1,"Thomas, dreading the approaching breakup conversation he was about to start, got to Annika’s Finer Diner late but Sadie, his girlfriend, was not there yet.",1,1,None,None,11.0,None,None,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.2699357070000588,space,0.470209862000047,None,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
1,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
2,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5174948229999927,space,0.319524433999959,space,0.4535206120000339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
2,"Ariana hurried into the classroom, and Leon did a double-take when he saw her, almost dropping the eraser he had in his hand. ",1.0,1.0,,,44.0,,,,0,2,2,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.31964648999996825,space,0.43618955299996287,None,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
2,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
3,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4697308829998974,space,0.31888423400005195,space,0.8198246429999472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
3,"Alex was a distracted, sweaty mess as he walked into the grocery store with Chloe; he was hoping that she wouldn't suspect that he was about to propose.",1,1,,,23.0,,,,0,3,3,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.28674648499998057,space,0.5864656400000285,None,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
3,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
4,,,,,,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3699460049999743,space,0.3530088599999317,space,0.4363401780000231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
4,The grocery store was not the place Emmanuella and Liam wanted to be at the moment considering that they had been fighting to the point where Emmanuella was thinking of breaking up with Liam.,1.0,1.0,,,13.0,,,,0,4,4,4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5534521499999983,space,1.2031263829999261,None,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
4,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
5,,,,,,,,,,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5530678770001032,space,0.32000667500005875,space,0.3531247349999376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
5,David saw Anna for the first time when she burst into the airport frazzled with her half-zipped bag skidding behind her.,1,1,,,42.0,,,,0,5,5,5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.26975186000004214,space,0.3697388030000184,None,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
5,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
6,,,,,,,,,,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2194607180000503,space,0.3193550249999362,space,0.40297641200004364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
6,"Jeff, hoping that today would be a pivotal day for his company, had only been waiting inside the entrance of the airport for a few minutes when he saw William and eagerly waved him over. ",1,1,,,32.0,,,,0,6,6,6,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.219910681999977,space,0.35289498500003447,None,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
6,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
7,,,,,,,,,,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.23638222799991127,space,0.7035942600000453,space,0.5004188300000578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
7,"Charlie saw Alma as they walked into class, and he motioned for her to come sit in the back next to him because they had a deal to discuss.",1,1,,,34.0,,,,0,7,7,7,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2531190480000305,space,0.3341893850000588,None,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
7,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.481103726000015,space,0.7869639259999985,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
,,,,,,,,,"In this next part of the experiment, please recall each story to the best of your ability.",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.1033063579999407,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
,,,,,,,,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.0197271970000656,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
,,,,,,,,,Describe the story indicated with as many details as you can remember in the space provided. ,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.419635607000032,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
,,,,,,,,,"When you are finished recalling one story, to move onto the next one, press the ‘return’ key. ",,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.33644465700001547,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
,,,,,,,,,There is a 5 minute time limit to make your response. ,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.803164723000009,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
,,,,,,,,,Please note that you will not be able to capitalize any letters except for the first letter of your answer. This will not effect the scoring of your recall answer.,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.537155767000058,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8695722779999642,Jkjlkjk,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
1,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.4535466099999894,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.28360887499991,space,1.1364043480000419,,,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
,,,,,,,,,"In this last part of the experiment, please answer 8 questions about each story.",,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.070146419999901,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
,,,,,,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.8364369119999537,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
,,,,,,,,,"We realize that we did not tell you to think of these questions during the story, but please do your best to answer them.",,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.153398773000049,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
,,,,,,,,,"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.43663759700007176,,,,,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.3364119549999032, ,non-primed first,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6529970599999615,,non-primed first,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5531813249999686,,non-primed first,,,,,,,,',001,2019_Jun_19_1602,body_behavioural,3.0.4,60.02050600589713,
