instruct_text,instruct_text2,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,0,0,0,0,,,,,,,,,space,0.38957740100158844,,,,,',001,2019_Feb_04_1641,part1_subjective_segmentation,59.99006084401806,
"In this task, you’ll first be introduced to the perspectives of 8 different jobs. ",None,,,0,1,1,1,,,,,,,,,space,1.169038553009159,,,,,',001,2019_Feb_04_1641,part1_subjective_segmentation,59.99006084401806,
You’ll then learn 4 questions associated with each perspective. ,None,,,0,2,2,2,,,,,,,,,space,1.1830546319979476,,,,,',001,2019_Feb_04_1641,part1_subjective_segmentation,59.99006084401806,
"Subsequently, you will be asked to apply those perspectives and questions to 8 stories.",None,,,0,3,3,3,,,,,,,,,space,1.8347682179883122,,,,,',001,2019_Feb_04_1641,part1_subjective_segmentation,59.99006084401806,
"For each story you read, you will be asked to assume one of the perspectives. ",None,,,0,4,4,4,,,,,,,,,space,1.9696003099961672,,,,,',001,2019_Feb_04_1641,part1_subjective_segmentation,59.99006084401806,
"While reading, try to remember the perspective and the questions of that perspective. ",None,,,0,5,5,5,,,,,,,,,space,1.8519486729928758,,,,,',001,2019_Feb_04_1641,part1_subjective_segmentation,59.99006084401806,
"After you’re finished reading all the stories, you will be asked to recall the stories and answer questions about them. ",None,,,0,6,6,6,,,,,,,,,space,5.352154934997088,,,,,',001,2019_Feb_04_1641,part1_subjective_segmentation,59.99006084401806,
Let’s begin! The 8 perspectives are as follows:,None,,,0,7,7,7,,,,,,,,,space,1.9193967949977377,,,,,',001,2019_Feb_04_1641,part1_subjective_segmentation,59.99006084401806,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,0,0,0,3,,,,,,,space,0.9379611390031641,,,',001,2019_Feb_04_1641,part1_subjective_segmentation,59.99006084401806,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,0,1,1,5,,,,,,,space,1.125097766998806,,,',001,2019_Feb_04_1641,part1_subjective_segmentation,59.99006084401806,
,,jobphotos/couples.jpeg,"Couples Therapist
",,,,,0,2,2,7,,,,,,,space,0.8026274610019755,,,',001,2019_Feb_04_1641,part1_subjective_segmentation,59.99006084401806,
,,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,0,3,3,1,,,,,,,space,0.7841960070072673,,,',001,2019_Feb_04_1641,part1_subjective_segmentation,59.99006084401806,
,,jobphotos/matchmaker.jpg,Matchmaker,,,,,0,4,4,2,,,,,,,space,0.8342118779983139,,,',001,2019_Feb_04_1641,part1_subjective_segmentation,59.99006084401806,
,,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,0,5,5,4,,,,,,,space,0.9193866870045895,,,',001,2019_Feb_04_1641,part1_subjective_segmentation,59.99006084401806,
,,jobphotos/dean.jpg,Dean of Academic Studies,,,,,0,6,6,6,,,,,,,space,0.9196340850030538,,,',001,2019_Feb_04_1641,part1_subjective_segmentation,59.99006084401806,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,0,7,7,0,,,,,,,space,0.7341049519891385,,,',001,2019_Feb_04_1641,part1_subjective_segmentation,59.99006084401806,
Each of these perspectives will be applied to one story. ,None,,,,,,,,,,,0,0,0,0,,,,,space,3.9032215930055827,',001,2019_Feb_04_1641,part1_subjective_segmentation,59.99006084401806,
