instruct_text,this_pic,rolePic,job,instruct_text2,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_6.keys,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6223682489981002,,,,,,,,,,,,,,,,,',001,2019_Feb_06_1545,part1_subjective_segmentation,60.01464897603843,
"In this task, you’ll first be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8179057779998402,,,,,,,,,,,,,,,,,',001,2019_Feb_06_1545,part1_subjective_segmentation,60.01464897603843,
You’ll then learn 4 questions associated with each perspective. ,instructions_photos/i2.png,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6358316570003808,,,,,,,,,,,,,,,,,',001,2019_Feb_06_1545,part1_subjective_segmentation,60.01464897603843,
"Subsequently, you will be asked to apply those perspectives and questions to 8 stories.",instructions_photos/i3.png,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,space,0.31874454699936905,,,,,,,,,,,,,,,,,',001,2019_Feb_06_1545,part1_subjective_segmentation,60.01464897603843,
"For each story you read, you will be asked to assume one of the perspectives. ",instructions_photos/i3.png,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,space,0.13418824300242704,,,,,,,,,,,,,,,,,',001,2019_Feb_06_1545,part1_subjective_segmentation,60.01464897603843,
"While reading, try to remember the perspective and the questions of that perspective. ",instructions_photos/i3.png,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,',001,2019_Feb_06_1545,part1_subjective_segmentation,60.01464897603843,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,',001,2019_Feb_06_1545,part1_subjective_segmentation,60.01464897603843,
Each of these perspectives will be applied to one story. ,,,,(press space to continue),,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,',001,2019_Feb_06_1545,part1_subjective_segmentation,60.01464897603843,
,,jobphotos/couples.jpeg,,,"How does the person who is initiating the breakup feel before they do it?
","Why does the initiator want to break up?
","How does the person being broken up with respond?
",Do the partners leave on good terms?,Does the person being broken up with expect that this is coming?,For how long has the initiator been wanting to break up?,"Couples Therapist
",,,,,,,,,,,,,0,0,0,7,0,0,0,0,,,,,,,,,,,,,space,3.202183329001855,space,0.7348613210015174,space,0.16860480299874325,space,0.15162164300272707,space,0.13472096299665282,space,0.21787478199985344,,,',001,2019_Feb_06_1545,part1_subjective_segmentation,60.01464897603843,
,,jobphotos/couples.jpeg,,,"How does the person who is initiating the breakup feel before they do it?
","Why does the initiator want to break up?
","How does the person being broken up with respond?
",Do the partners leave on good terms?,Does the person being broken up with expect that this is coming?,For how long has the initiator been wanting to break up?,"Couples Therapist
",,,,,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_06_1545,part1_subjective_segmentation,60.01464897603843,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.834937167001044,,,,,,
