instruct_text,this_pic,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,instruct_text2,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,,,0,0,0,0,,,,,,,,,,space,0.3210486749994743,,,',001,2019_Feb_13_1155,part1_subjective_segmentation,3.0.3,60.0961585405997,
"In this task, you’ll first be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,,,0,1,1,1,,,,,,,,,,space,4.570735930999945,,,',001,2019_Feb_13_1155,part1_subjective_segmentation,3.0.3,60.0961585405997,
You’ll then learn 4 questions associated with each perspective. ,instructions_photos/i2.png,,,0,2,2,2,,,,,,,,,,space,5.1355290100000275,,,',001,2019_Feb_13_1155,part1_subjective_segmentation,3.0.3,60.0961585405997,
"Subsequently, you will be asked to apply those perspectives and questions to 8 stories.",instructions_photos/i3.png,,,0,3,3,3,,,,,,,,,,space,1.5839790000009089,,,',001,2019_Feb_13_1155,part1_subjective_segmentation,3.0.3,60.0961585405997,
"For each story you read, you will be asked to assume one of the perspectives. ",instructions_photos/i3.png,,,0,4,4,4,,,,,,,,,,space,0.7677869149993057,,,',001,2019_Feb_13_1155,part1_subjective_segmentation,3.0.3,60.0961585405997,
"While reading, try to remember the perspective and the questions of that perspective. ",instructions_photos/i3.png,,,0,5,5,5,,,,,,,,,,space,2.4864863519997016,,,',001,2019_Feb_13_1155,part1_subjective_segmentation,3.0.3,60.0961585405997,
"After you’re finished reading all the stories, you will be asked to recall the stories and answer questions about them. ",instructions_photos/i4.png,,,0,6,6,6,,,,,,,,,,space,0.42074953200062737,,,',001,2019_Feb_13_1155,part1_subjective_segmentation,3.0.3,60.0961585405997,
Let’s begin! The 8 perspectives are as follows:,None,,,0,7,7,7,,,,,,,,,,space,0.6202456850005547,,,',001,2019_Feb_13_1155,part1_subjective_segmentation,3.0.3,60.0961585405997,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,0,0,0,0,,,,,,,,space,0.7696116699989943,',001,2019_Feb_13_1155,part1_subjective_segmentation,3.0.3,60.0961585405997,
,,jobphotos/matchmaker.jpg,Matchmaker,,,,,0,1,1,2,,,,,,,,space,0.6193633089987998,',001,2019_Feb_13_1155,part1_subjective_segmentation,3.0.3,60.0961585405997,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,0,2,2,3,,,,,,,,space,0.5170394969991321,',001,2019_Feb_13_1155,part1_subjective_segmentation,3.0.3,60.0961585405997,
,,jobphotos/dean.jpg,Dean of Academic Studies,,,,,0,3,3,6,,,,,,,,space,0.6197649549994821,',001,2019_Feb_13_1155,part1_subjective_segmentation,3.0.3,60.0961585405997,
,,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,0,4,4,1,,,,,,,,space,0.31974181000077806,',001,2019_Feb_13_1155,part1_subjective_segmentation,3.0.3,60.0961585405997,
,,jobphotos/couples.jpeg,"Couples Therapist
",,,,,0,5,5,7,,,,,,,,space,0.38695542700043006,',001,2019_Feb_13_1155,part1_subjective_segmentation,3.0.3,60.0961585405997,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,0,6,6,5,,,,,,,,space,3.286432409999179,',001,2019_Feb_13_1155,part1_subjective_segmentation,3.0.3,60.0961585405997,
,,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,0,7,7,4,,,,,,,,space,0.9191589880010724,',001,2019_Feb_13_1155,part1_subjective_segmentation,3.0.3,60.0961585405997,
