instruct_text,this_pic,rolePic,job,instruct_text2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,space,0.5882495049991121,,,,,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
"In this task, you'll be assuming various perspectives of jobs while reading stories. ",None,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,space,1.003354662001584,,,,,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
"First, you’ll be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,space,1.486440587999823,,,,,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
"For example, you may be asked to take on the perspective of a Restaurant Critic while you read a story that takes place in a restaurant. ",jobphotos/restaurant_critic.jpg,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,space,3.9369749470006354,,,,,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
"You’ll learn 4 questions associated with each perspective, and you’ll use these to interrogate the stories while assuming that perspective. ",instructions_photos/i2.png,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,space,5.0341883100009,,,,,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
"For example, if you are a Restaurant Critic, you’ll learn to ask questions about the restaurant decor, menus, and the enjoyment of the food. ",jobphotos/restaurant_critic.jpg,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,space,3.1034116849987186,,,,,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
"After learning all the questions in a series of pre-task quizzes, you’ll read 8 stories, applying one perspective you’ve learned to each one. ",instructions_photos/i3.png,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,space,5.9837671969999064,,,,,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
"While reading, try to keep in mind the perspective and questions. ",instructions_photos/i3.png,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,space,5.620752275000996,,,,,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
"After you’re finished reading all the stories, you will be asked to recall the stories and answer questions about them. ",instructions_photos/i4.png,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,space,5.820516813000722,,,,,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
Try to remember the stories and the answers to the questions as you read them for these later tasks. ,None,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,space,9.719970269999976,,,,,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
