instruct_text,this_pic,rolePic,job,instruct_text2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,space,0.4869905799996559,,,,,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
"In this task, you'll be assuming various perspectives of jobs while reading stories. ",None,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,space,0.43649283500008096,,,,,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
"First, you’ll be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,space,0.986487340000167,,,,,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
"For example, you may be asked to take on the perspective of a Restaurant Critic while you read a story that takes place in a restaurant. ",jobphotos/restaurant_critic.jpg,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,space,0.7196623549998549,,,,,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
"You’ll learn 4 questions associated with each perspective, and you’ll use these to interrogate the stories while assuming that perspective. ",instructions_photos/i2.png,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,space,0.3499961349998557,,,,,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
"For example, if you are a Restaurant Critic, you’ll learn to ask questions about the restaurant decor, menus, and the enjoyment of the food. ",jobphotos/restaurant_critic.jpg,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,space,0.4007893449997937,,,,,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
"After learning all the questions in a series of pre-task quizzes, you’ll read 8 stories, applying one perspective you’ve learned to each one. ",instructions_photos/i3.png,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,space,0.2364391869996325,,,,,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
"While reading, try to keep in mind the perspective and questions. ",instructions_photos/i3.png,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,space,0.23654035699973974,,,,,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
"After you’re finished reading all the stories, you will be asked to recall the stories and answer questions about them. ",instructions_photos/i4.png,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,space,0.051050656999905186,,,,,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
Try to remember the stories and the answers to the questions as you read them for these later tasks. ,None,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,space,0.552936889999728,,,,,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
Let’s begin! The 8 perspectives are as follows:,None,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,space,0.2864910329999475,,,,,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,space,0.7360523520001152,,,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
,,jobphotos/matchmaker.jpg,Matchmaker,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,space,0.3032741749998422,,,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
,,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,space,0.26901309100003346,,,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,space,0.2693279049999546,,,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
,,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,space,0.3194670779998887,,,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,space,0.21975629799999297,,,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
,,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,space,0.25102831999993214,,,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
,,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,space,0.21982144000003245,,,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
You’ll become acquainted with these perspectives more in the following pre-task quizzes where you’ll learn the questions associated with each perspective. ,,,,(press space to continue),,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,space,0.26922251999985747,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
You’ll first go through all four questions for each perspective. ,,,,None,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,space,0.28392356499989546,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
"Then, you’ll indicate the order in which you saw the questions during the quiz by pressing the number in front of the question. ",,,,None,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,space,0.20063968500016927,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
"If you indicate the wrong question during the quiz, you’ll restart the learning.",,,,None,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,space,0.20288141199989695,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
"After you’ve passed the learning for each perspective, you’ll have a round of final quizzes. ",,,,None,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,space,0.1868253630000254,,,,,',001,2019_Feb_21_1157,part1_subjective_segmentation,3.0.4,60.00197274484364,
