instruct_text,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,key_resp_21.keys,key_resp_21.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.33104356698459014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2532565700239502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
"There are 4 parts of the experiment, and, before you begin, we'll give you a brief overview of all the parts. ",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11956883000675589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
1,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11936523200711235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11982436699327081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
"For each short story, you'll be assigned one of these perspectives to assume while you read it. ",,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1364823100157082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1528369730222039,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6363936099805869,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.23647296195849776,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
The 4 questions for each perspective are learned with quizzes in this first part of the experiment as well. ,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4339085170067847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
2,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.15215638699010015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
"In the second part of the experiment, you will read 8 short stories. ",,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.13343717501265928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.8536241730325855,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
"Before each story, you will be assigned one of the eight perspectives to take on while reading it. ",,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.2673102080007084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
You'll be given a quiz before the story for the 4 questions of the assigned perspective. ,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.6002431500237435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
"You must pass this quiz to move onto the story, but you will have a few chances. ",,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.3187421879847534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
3,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.2341631849994883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.4029378849663772,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
"You'll be given a blank textbox under the image, where you can type out all the details of the story you can remember. ",,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.153588266985025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
There is a 5 minute time limit for recalling each story. ,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7697461899952032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
4,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.41979482799069956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
"In the fourth part of the experiment, you will be asked questions about each story. ",,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1835354199865833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.2531112680444494,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
Questions?,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5363890180015005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
Let's begin Part 1! ,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5361869730404578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
The 8 perspectives are as follows:,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3528613270027563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.33643515495350584,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.22045624197926372,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.06968429998960346,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11969860299723223,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.23606691200984642,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2032066029496491,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.13678647798951715,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.15319811296649277,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
You’ll become acquainted with these perspectives more in the following quizzes where you’ll learn the 4 questions associated with each perspective. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,space,0.11933696299092844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
"For each perspective, you'll go through all four questions in a sequence. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,space,0.35325637803180143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
Then you'll get the quiz and indicate which questions you saw in the order in which they appeared in the sequence. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,space,1.636528987030033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
You'll indicate the question you select by pressing the number key corresponding to the number in front of the question. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,space,0.26974478497868404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
"If you indicate the wrong question during the quiz, you'll get the questions presented in the correct order again and restart the quiz. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,space,0.886510971991811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
"After you've passed the quizzes for each perspective, you'll do all of the quizzes a final time but without seeing the correct order of the questions beforehand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,space,0.38574981002602726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
Press space to begin the quizzes!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,space,0.6365201380103827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
,jobphotos/gscem.jpg,,"What is the grocery store like upon entering?
","What items do the clients pick out?
","How many checkout lanes are open and which one do the clients step into?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8200904199620709,space,0.2028644949896261,space,0.18643051001708955,space,0.15296520700212568,space,0.1527522699907422,space,0.21940113499294966,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
,jobphotos/gscem.jpg,,"What is the grocery store like upon entering?
","What items do the clients pick out?
","How many checkout lanes are open and which one do the clients step into?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
,jobphotos/business_reporter.jpg,,"What are the job titles of both of the business people?
","How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4364596370141953,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
,jobphotos/business_reporter.jpg,,"What are the job titles of both of the business people?
","How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jul_01_0804,part1_subjective_segmentation,3.0.4,59.99617584676109,
