instruct_text,this_pic,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,space,0.6505925270030275,,,',001,2019_Jun_10_1223,part1_subjective_segmentation,3.0.4,59.98655581409391,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,0,0,0,0,,,space,0.8194912699982524,',001,2019_Jun_10_1223,part1_subjective_segmentation,3.0.4,59.98655581409391,
"In this task, you'll be assuming various perspectives of jobs while reading stories. ",None,0,1,1,1,,,space,3.6038641430204734,',001,2019_Jun_10_1223,part1_subjective_segmentation,3.0.4,59.98655581409391,
"First, you’ll be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,0,2,2,2,,,space,123.63543275400298,',001,2019_Jun_10_1223,part1_subjective_segmentation,3.0.4,59.98655581409391,
"For example, you may be asked to take on the perspective of a Restaurant Critic while you read a story that takes place in a restaurant. ",jobphotos/restaurant_critic.jpg,0,3,3,3,,,space,256.87114731397014,',001,2019_Jun_10_1223,part1_subjective_segmentation,3.0.4,59.98655581409391,
"You’ll learn 4 questions associated with each perspective, and you should keep them in mind while reading the story while assuming that perspective. ",instructions_photos/i2.png,0,4,4,4,,,space,3.50449036603095,',001,2019_Jun_10_1223,part1_subjective_segmentation,3.0.4,59.98655581409391,
"For example, if you are a Restaurant Critic, you’ll learn to ask questions about the restaurant decor, menus, and the enjoyment of the food. ",jobphotos/restaurant_critic.jpg,0,5,5,5,,,space,53.59082963503897,',001,2019_Jun_10_1223,part1_subjective_segmentation,3.0.4,59.98655581409391,
"After learning all the questions in a series of pre-task quizzes, you’ll read 8 stories, applying one perspective you’ve learned to each one. ",instructions_photos/i3.png,0,6,6,6,,,space,1.7372021400369704,',001,2019_Jun_10_1223,part1_subjective_segmentation,3.0.4,59.98655581409391,
"While reading, try to keep in mind the perspective and questions. ",instructions_photos/i3.png,0,7,7,7,,,space,1.3200269950320944,',001,2019_Jun_10_1223,part1_subjective_segmentation,3.0.4,59.98655581409391,
"After you’re finished reading all the stories, you will be asked to recall the stories and answer questions about them. ",instructions_photos/i4.png,0,8,8,8,,,space,2.6370102600194514,',001,2019_Jun_10_1223,part1_subjective_segmentation,3.0.4,59.98655581409391,
