instruct_text,this_pic,rolePic,job,instruct_text2,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.0729124349891208,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8198307279963046,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
"In this task, you'll be assuming various perspectives of jobs while reading stories. ",None,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.3696557820076123,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
"First, you’ll be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8534755380242132,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
"For example, you may be asked to take on the perspective of a Restaurant Critic while you read a story that takes place in a restaurant. ",jobphotos/restaurant_critic.jpg,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.3022866179817356,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
"You’ll learn 4 questions associated with each perspective, and you should keep them in mind while reading the story while assuming that perspective. ",instructions_photos/i2.png,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.08651537500554696,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
"For example, if you are a Restaurant Critic, you’ll learn to ask questions about the restaurant decor, menus, and the enjoyment of the food. ",jobphotos/restaurant_critic.jpg,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1528345019905828,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
"After learning all the questions in a series of pre-task quizzes, you’ll read 8 stories, applying one perspective you’ve learned to each one. ",instructions_photos/i3.png,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.20325693499762565,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
"While reading, try to keep in mind the perspective and questions. ",instructions_photos/i3.png,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1363346449797973,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
"After you’re finished reading all the stories, you will be asked to recall the stories and answer questions about them. ",instructions_photos/i4.png,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.08712430100422353,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
Let’s begin! The 8 perspectives are as follows:,None,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.18657486501615494,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
,,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6192375179962255,,,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
,,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4696769149741158,,,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
,,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,,,,,,,,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5523047349997796,,,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4866703429725021,,,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
,,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,space,0.43470422201789916,,,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,space,0.45319061301415786,,,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.41969048196915537,,,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
,,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4196946769952774,,,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
You’ll become acquainted with these perspectives more in the following pre-task quizzes where you’ll learn the questions associated with each perspective. ,,,,(press space to continue),,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,space,0.8007899500080384,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
You’ll first go through all four questions for each perspective. ,,,,None,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,space,0.6202823120402172,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
"Then, you’ll indicate the order in which you saw the questions during the quiz by pressing the number in front of the question. ",,,,None,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,space,0.5030609820387326,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
"If you indicate the wrong question during the quiz, you’ll restart the learning.",,,,None,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,space,1.4528949699597433,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
"After you’ve passed the learning for each perspective, you’ll have a round of final quizzes. ",,,,None,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,space,0.28691816196078435,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
Press the space bar to begin the quizzes. ,,,,None,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,space,0.3194968629977666,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
,,jobphotos/dean.jpg,,,"What is the lecture hall like?
","What class are the students in and what is the day’s lecture about?
","What is something taught in lecture?
",What is the next assessment in class and when is it due/scheduled?,Are the students paying attention?,Are the desks comfortable?,Dean of Academic Studies,,,,,,,,,,,,,0,0,0,6,0,0,0,0,,,,,,,,,,,,,,,,,space,1.3200520080281422,space,2.319057279964909,space,4.086559352988843,space,3.7197958100005053,space,60.722104987013154,space,1.3030066780047491,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
,,jobphotos/dean.jpg,,,"What is the lecture hall like?
","What class are the students in and what is the day’s lecture about?
","What is something taught in lecture?
",What is the next assessment in class and when is it due/scheduled?,Are the students paying attention?,Are the desks comfortable?,Dean of Academic Studies,,,,,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_10_1302,part1_subjective_segmentation,3.0.4,60.001844927585445,
