instruct_text,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,space,0.32131750002736226,,,,,,,',001,2019_Jun_11_0532,part1_subjective_segmentation,3.0.4,60.02367993431316,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",0,0,0,0,,,,,,,space,0.5199687209678814,,,,,',001,2019_Jun_11_0532,part1_subjective_segmentation,3.0.4,60.02367993431316,
There are 4 parts of the experiment. ,0,1,1,1,,,,,,,space,0.3690600210102275,,,,,',001,2019_Jun_11_0532,part1_subjective_segmentation,3.0.4,60.02367993431316,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",0,2,2,2,,,,,,,space,0.3359186470042914,,,,,',001,2019_Jun_11_0532,part1_subjective_segmentation,3.0.4,60.02367993431316,
You'll learn 4 questions associated with each perspective that you'll use when reading the stories. ,0,3,3,3,,,,,,,space,0.3529986329958774,,,,,',001,2019_Jun_11_0532,part1_subjective_segmentation,3.0.4,60.02367993431316,
The 4 questions for each perspective are learned with quizzes. ,0,4,4,4,,,,,,,space,0.35271079203812405,,,,,',001,2019_Jun_11_0532,part1_subjective_segmentation,3.0.4,60.02367993431316,
"In the second part of the experiment, you will read 8 short stories. ",0,5,5,5,,,,,,,space,0.2861868129693903,,,,,',001,2019_Jun_11_0532,part1_subjective_segmentation,3.0.4,60.02367993431316,
,,,,,,,,,,,,,space,0.31971124198753387,,,',001,2019_Jun_11_0532,part1_subjective_segmentation,3.0.4,60.02367993431316,
"Before each story, you will be assigned a perspective to take on while reading it. ",,,,,0,0,0,0,,,space,0.35022695298539475,,,,,',001,2019_Jun_11_0532,part1_subjective_segmentation,3.0.4,60.02367993431316,
You'll be given a quiz before the story for the 4 questions of the assigned perspective. ,,,,,0,1,1,1,,,space,0.336504387028981,,,,,',001,2019_Jun_11_0532,part1_subjective_segmentation,3.0.4,60.02367993431316,
You must pass this quiz to move onto the story. ,,,,,0,2,2,2,,,space,0.35307469801045954,,,,,',001,2019_Jun_11_0532,part1_subjective_segmentation,3.0.4,60.02367993431316,
,,,,,,,,,,,,,,,space,0.33623086696024984,',001,2019_Jun_11_0532,part1_subjective_segmentation,3.0.4,60.02367993431316,
