instruct_text,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,space,0.4376467100228183,,,',001,2019_Jun_11_1155,part1_subjective_segmentation,3.0.4,59.99161018974603,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",0,0,0,0,,,space,1.8356254350510426,',001,2019_Jun_11_1155,part1_subjective_segmentation,3.0.4,59.99161018974603,
There are 4 parts of the experiment. ,0,1,1,1,,,space,0.9358027779962867,',001,2019_Jun_11_1155,part1_subjective_segmentation,3.0.4,59.99161018974603,
1,0,2,2,2,,,space,0.7026680320268497,',001,2019_Jun_11_1155,part1_subjective_segmentation,3.0.4,59.99161018974603,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",0,3,3,3,,,space,3.152848184981849,',001,2019_Jun_11_1155,part1_subjective_segmentation,3.0.4,59.99161018974603,
"For each short story, you'll be assigned one of these perspectives to assume while you read it. ",0,4,4,4,,,space,3.53617104497971,',001,2019_Jun_11_1155,part1_subjective_segmentation,3.0.4,59.99161018974603,
"In this first part of the experiment, you'll learn 4 questions associated with each perspective that you'll use when reading the stories with that particular perspective. ",0,5,5,5,,,space,13.036849517957307,',001,2019_Jun_11_1155,part1_subjective_segmentation,3.0.4,59.99161018974603,
The 4 questions for each perspective are learned with quizzes. ,0,6,6,6,,,space,2.9523999220109545,',001,2019_Jun_11_1155,part1_subjective_segmentation,3.0.4,59.99161018974603,
2,0,7,7,7,,,space,1.6008227100246586,',001,2019_Jun_11_1155,part1_subjective_segmentation,3.0.4,59.99161018974603,
"In the second part of the experiment, you will read 8 short stories. ",0,8,8,8,,,space,2.3029981259605847,',001,2019_Jun_11_1155,part1_subjective_segmentation,3.0.4,59.99161018974603,
