instruct_text,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,space,0.45536583999637514,,,,,',001,2019_Jun_11_1157,part1_subjective_segmentation,3.0.4,59.825763325050985,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",0,0,0,0,,,space,1.6359806850086898,,,',001,2019_Jun_11_1157,part1_subjective_segmentation,3.0.4,59.825763325050985,
There are 4 parts of the experiment. ,0,1,1,1,,,space,0.6005942919873632,,,',001,2019_Jun_11_1157,part1_subjective_segmentation,3.0.4,59.825763325050985,
1,0,2,2,2,,,space,0.7034022029838525,,,',001,2019_Jun_11_1157,part1_subjective_segmentation,3.0.4,59.825763325050985,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",0,3,3,3,,,space,1.3701697080396116,,,',001,2019_Jun_11_1157,part1_subjective_segmentation,3.0.4,59.825763325050985,
"For each short story, you'll be assigned one of these perspectives to assume while you read it. ",0,4,4,4,,,space,1.7867082199663855,,,',001,2019_Jun_11_1157,part1_subjective_segmentation,3.0.4,59.825763325050985,
"In this first part of the experiment, you'll learn 4 questions associated with each perspective that you'll use when reading the stories with that particular perspective. ",0,5,5,5,,,space,1.536023995024152,,,',001,2019_Jun_11_1157,part1_subjective_segmentation,3.0.4,59.825763325050985,
The 4 questions for each perspective are learned with quizzes. ,0,6,6,6,,,space,0.7361038260278292,,,',001,2019_Jun_11_1157,part1_subjective_segmentation,3.0.4,59.825763325050985,
2,0,7,7,7,,,space,0.651903276972007,,,',001,2019_Jun_11_1157,part1_subjective_segmentation,3.0.4,59.825763325050985,
"In the second part of the experiment, you will read 8 short stories. ",0,8,8,8,,,space,0.969392876024358,,,',001,2019_Jun_11_1157,part1_subjective_segmentation,3.0.4,59.825763325050985,
,,,,,,,,,space,6.51990932301851,',001,2019_Jun_11_1157,part1_subjective_segmentation,3.0.4,59.825763325050985,
