instruct_text,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,space,0.4723154599778354,,,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,60.0144047755023,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",0,0,0,0,,,,,,,space,0.5196690680459142,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,60.0144047755023,
There are 4 parts of the experiment. ,0,1,1,1,,,,,,,space,0.41951529000652954,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,60.0144047755023,
1,0,2,2,2,,,,,,,space,0.5027949700015597,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,60.0144047755023,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",0,3,3,3,,,,,,,space,0.3673031229991466,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,60.0144047755023,
"For each short story, you'll be assigned one of these perspectives to assume while you read it. ",0,4,4,4,,,,,,,space,0.31905359699158,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,60.0144047755023,
"In this first part of the experiment, you'll learn 4 questions associated with each perspective that you'll use when reading the stories with that particular perspective. ",0,5,5,5,,,,,,,space,0.4699629379902035,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,60.0144047755023,
The 4 questions for each perspective are learned with quizzes. ,0,6,6,6,,,,,,,space,0.3862392200389877,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,60.0144047755023,
2,0,7,7,7,,,,,,,space,0.4507241320097819,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,60.0144047755023,
"In the second part of the experiment, you will read 8 short stories. ",0,8,8,8,,,,,,,space,0.3196764850290492,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,60.0144047755023,
,,,,,,,,,,,,,space,0.6865433369530365,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,60.0144047755023,
