instruct_text,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,space,0.38676351500907913,,,,,,,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,59.93018147671786,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",0,0,0,0,,,,,,,,,,,,,,,space,0.43656481796642765,,,,,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,59.93018147671786,
There are 4 parts of the experiment. ,0,1,1,1,,,,,,,,,,,,,,,space,0.40277730202069506,,,,,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,59.93018147671786,
1,0,2,2,2,,,,,,,,,,,,,,,space,0.4359021160053089,,,,,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,59.93018147671786,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",0,3,3,3,,,,,,,,,,,,,,,space,0.4198317370028235,,,,,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,59.93018147671786,
"For each short story, you'll be assigned one of these perspectives to assume while you read it. ",0,4,4,4,,,,,,,,,,,,,,,space,0.33654909004690126,,,,,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,59.93018147671786,
"In this first part of the experiment, you'll learn 4 questions associated with each perspective that you'll use when reading the stories with that particular perspective. ",0,5,5,5,,,,,,,,,,,,,,,space,0.4025374360498972,,,,,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,59.93018147671786,
The 4 questions for each perspective are learned with quizzes. ,0,6,6,6,,,,,,,,,,,,,,,space,0.4536010640440509,,,,,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,59.93018147671786,
2,0,7,7,7,,,,,,,,,,,,,,,space,0.5037502549821511,,,,,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,59.93018147671786,
"In the second part of the experiment, you will read 8 short stories. ",0,8,8,8,,,,,,,,,,,,,,,space,0.38633053796365857,,,,,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,59.93018147671786,
,,,,,,,,,,,,,,,,,,,,,space,14.086918290005997,,,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,59.93018147671786,
"Before each story, you will be assigned a perspective to take on while reading it. ",,,,,0,0,0,0,,,,,,,,,,,space,2.0864183690282516,,,,,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,59.93018147671786,
You'll be given a quiz before the story for the 4 questions of the assigned perspective. ,,,,,0,1,1,1,,,,,,,,,,,space,9.220809805963654,,,,,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,59.93018147671786,
You must pass this quiz to move onto the story. ,,,,,0,2,2,2,,,,,,,,,,,space,1.5190735550131649,,,,,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,59.93018147671786,
3,,,,,0,3,3,3,,,,,,,,,,,space,1.0030541460146196,,,,,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,59.93018147671786,
,,,,,,,,,,,,,,,,,,,,,,,space,14.103944996953942,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,59.93018147671786,
There is a 5 minute time limit for recalling each story. ,,,,,,,,,0,0,0,0,,,,,,,space,4.136615428025834,,,,,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,59.93018147671786,
4,,,,,,,,,0,1,1,1,,,,,,,space,0.7028869799687527,,,,,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,59.93018147671786,
"In the fourth part of the experiment, you will be asked questions about each story. ",,,,,,,,,0,2,2,2,,,,,,,space,1.469522422994487,,,,,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,59.93018147671786,
,,,,,,,,,,,,,,,,,,,,,,,,,space,1.2530128080397844,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,59.93018147671786,
Questions?,,,,,,,,,,,,,0,0,0,0,,,space,0.8361180949723348,,,,,,,',001,2019_Jun_11_1201,part1_subjective_segmentation,3.0.4,59.93018147671786,
