instruct_text,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,space,4.8849451469723135,,,,,,,,,',001,2019_Jun_12_1104,part1_subjective_segmentation,3.0.4,60.001513341892284,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",0,0,0,0,,,,,,,,,,,,,,,space,14.937344186997507,,,,,,,',001,2019_Jun_12_1104,part1_subjective_segmentation,3.0.4,60.001513341892284,
There are 4 parts of the experiment. ,0,1,1,1,,,,,,,,,,,,,,,space,10.837749867001548,,,,,,,',001,2019_Jun_12_1104,part1_subjective_segmentation,3.0.4,60.001513341892284,
1,0,2,2,2,,,,,,,,,,,,,,,space,0.7359963900526054,,,,,,,',001,2019_Jun_12_1104,part1_subjective_segmentation,3.0.4,60.001513341892284,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",0,3,3,3,,,,,,,,,,,,,,,space,3.585780182038434,,,,,,,',001,2019_Jun_12_1104,part1_subjective_segmentation,3.0.4,60.001513341892284,
"For each short story, you'll be assigned one of these perspectives to assume while you read it. ",0,4,4,4,,,,,,,,,,,,,,,space,2.9867421169765294,,,,,,,',001,2019_Jun_12_1104,part1_subjective_segmentation,3.0.4,60.001513341892284,
"In this first part of the experiment, you'll learn 4 questions associated with each perspective that you'll use when reading the stories with that particular perspective. ",0,5,5,5,,,,,,,,,,,,,,,space,7.598646159982309,,,,,,,',001,2019_Jun_12_1104,part1_subjective_segmentation,3.0.4,60.001513341892284,
The 4 questions for each perspective are learned with quizzes. ,0,6,6,6,,,,,,,,,,,,,,,space,1.587171812017914,,,,,,,',001,2019_Jun_12_1104,part1_subjective_segmentation,3.0.4,60.001513341892284,
2,0,7,7,7,,,,,,,,,,,,,,,space,0.6201194750028662,,,,,,,',001,2019_Jun_12_1104,part1_subjective_segmentation,3.0.4,60.001513341892284,
"In the second part of the experiment, you will read 8 short stories. ",0,8,8,8,,,,,,,,,,,,,,,space,2.570166044984944,,,,,,,',001,2019_Jun_12_1104,part1_subjective_segmentation,3.0.4,60.001513341892284,
,,,,,,,,,,,,,,,,,,,,,space,16.210053357004654,,,,,',001,2019_Jun_12_1104,part1_subjective_segmentation,3.0.4,60.001513341892284,
"Before each story, you will be assigned a perspective to take on while reading it. ",,,,,0,0,0,0,,,,,,,,,,,space,2.0533558289753273,,,,,,,',001,2019_Jun_12_1104,part1_subjective_segmentation,3.0.4,60.001513341892284,
You'll be given a quiz before the story for the 4 questions of the assigned perspective. ,,,,,0,1,1,1,,,,,,,,,,,space,2.253442666027695,,,,,,,',001,2019_Jun_12_1104,part1_subjective_segmentation,3.0.4,60.001513341892284,
You must pass this quiz to move onto the story. ,,,,,0,2,2,2,,,,,,,,,,,space,0.8863917900016531,,,,,,,',001,2019_Jun_12_1104,part1_subjective_segmentation,3.0.4,60.001513341892284,
3,,,,,0,3,3,3,,,,,,,,,,,space,0.5877172390464693,,,,,,,',001,2019_Jun_12_1104,part1_subjective_segmentation,3.0.4,60.001513341892284,
,,,,,,,,,,,,,,,,,,,,,,,space,5.986722306988668,,,',001,2019_Jun_12_1104,part1_subjective_segmentation,3.0.4,60.001513341892284,
There is a 5 minute time limit for recalling each story. ,,,,,,,,,0,0,0,0,,,,,,,space,2.45313266699668,,,,,,,',001,2019_Jun_12_1104,part1_subjective_segmentation,3.0.4,60.001513341892284,
4,,,,,,,,,0,1,1,1,,,,,,,space,0.8371411749976687,,,,,,,',001,2019_Jun_12_1104,part1_subjective_segmentation,3.0.4,60.001513341892284,
"In the fourth part of the experiment, you will be asked questions about each story. ",,,,,,,,,0,2,2,2,,,,,,,space,1.4197825800511055,,,,,,,',001,2019_Jun_12_1104,part1_subjective_segmentation,3.0.4,60.001513341892284,
,,,,,,,,,,,,,,,,,,,,,,,,,space,2.119993407977745,',001,2019_Jun_12_1104,part1_subjective_segmentation,3.0.4,60.001513341892284,
Questions?,,,,,,,,,,,,,0,0,0,0,,,space,20.06938837497728,,,,,,,',001,2019_Jun_12_1104,part1_subjective_segmentation,3.0.4,60.001513341892284,
Let's begin Part 1! ,,,,,,,,,,,,,0,1,1,1,,,space,0.5699704550206661,,,,,,,',001,2019_Jun_12_1104,part1_subjective_segmentation,3.0.4,60.001513341892284,
