instruct_text,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,space,0.28849688603077084,,,,,,,,,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.3007372620049864,,,,,,,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
There are 4 parts of the experiment. ,,,0,1,1,1,,,,,,,,,,,,,,,,,,,space,0.11928418796742335,,,,,,,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
1,,,0,2,2,2,,,,,,,,,,,,,,,,,,,space,0.11892339901532978,,,,,,,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",,,0,3,3,3,,,,,,,,,,,,,,,,,,,space,0.119573810021393,,,,,,,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
"For each short story, you'll be assigned one of these perspectives to assume while you read it. ",,,0,4,4,4,,,,,,,,,,,,,,,,,,,space,0.10078600799897686,,,,,,,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
"In this first part of the experiment, you'll learn 4 questions associated with each perspective that you'll use when reading the stories with that particular perspective. ",,,0,5,5,5,,,,,,,,,,,,,,,,,,,space,0.06928068801062182,,,,,,,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
The 4 questions for each perspective are learned with quizzes. ,,,0,6,6,6,,,,,,,,,,,,,,,,,,,space,0.10284283699002117,,,,,,,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
2,,,0,7,7,7,,,,,,,,,,,,,,,,,,,space,0.10297299496596679,,,,,,,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
"In the second part of the experiment, you will read 8 short stories. ",,,0,8,8,8,,,,,,,,,,,,,,,,,,,space,0.10273990797577426,,,,,,,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11870546004502103,,,,,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
"Before each story, you will be assigned a perspective to take on while reading it. ",,,,,,,0,0,0,0,,,,,,,,,,,,,,,space,0.08637819602154195,,,,,,,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
You'll be given a quiz before the story for the 4 questions of the assigned perspective. ,,,,,,,0,1,1,1,,,,,,,,,,,,,,,space,0.169849977013655,,,,,,,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
You must pass this quiz to move onto the story. ,,,,,,,0,2,2,2,,,,,,,,,,,,,,,space,0.11948271800065413,,,,,,,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
3,,,,,,,0,3,3,3,,,,,,,,,,,,,,,space,0.11725396994734183,,,,,,,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10371760401176289,,,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
There is a 5 minute time limit for recalling each story. ,,,,,,,,,,,0,0,0,0,,,,,,,,,,,space,0.08667306799907237,,,,,,,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
4,,,,,,,,,,,0,1,1,1,,,,,,,,,,,space,0.13627017999533564,,,,,,,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
"In the fourth part of the experiment, you will be asked questions about each story. ",,,,,,,,,,,0,2,2,2,,,,,,,,,,,space,0.1194459680118598,,,,,,,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.18562510097399354,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
Questions?,,,,,,,,,,,,,,,0,0,0,0,,,,,,,space,0.22027902799891308,,,,,,,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
Let's begin Part 1! ,,,,,,,,,,,,,,,0,1,1,1,,,,,,,space,0.3362144799903035,,,,,,,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
The 8 perspectives are as follows:,,,,,,,,,,,,,,,0,2,2,2,,,,,,,space,0.28590778401121497,,,,,,,,,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,space,2.0699632900068536,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,space,1.0528522499953397,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,space,0.7193450649501756,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,space,0.4029065070208162,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,space,0.5193385599995963,',001,2019_Jun_13_1217,part1_subjective_segmentation,3.0.4,60.002434301229584,
