instruct_text,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4874601580086164,,,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,space,0.16967035899870098,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
There are 4 parts of the experiment. ,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,space,0.136274864024017,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
1,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,space,0.15256180398864672,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,space,0.10280860302736983,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
"For each short story, you'll be assigned one of these perspectives to assume while you read it. ",,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,space,0.10252263699658215,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
"In this first part of the experiment, you'll learn 4 questions associated with each perspective that you'll use when reading the stories with that particular perspective. ",,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,space,0.08590319298673421,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
The 4 questions for each perspective are learned with quizzes. ,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,space,0.08692701597465202,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
2,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,space,0.1022609649808146,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
"In the second part of the experiment, you will read 8 short stories. ",,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,space,0.10346183099318296,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1338876980007626,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
"Before each story, you will be assigned a perspective to take on while reading it. ",,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.2030760149937123,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
You'll be given a quiz before the story for the 4 questions of the assigned perspective. ,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,space,0.15265963796991855,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
You must pass this quiz to move onto the story. ,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,space,0.10253536602249369,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
3,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,space,0.13596165901981294,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11904615798266605,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
There is a 5 minute time limit for recalling each story. ,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,space,0.319057718035765,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
4,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,space,0.13636648101964965,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
"In the fourth part of the experiment, you will be asked questions about each story. ",,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,space,0.3366957440157421,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.18687817500904202,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
Questions?,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,space,0.335811774013564,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
Let's begin Part 1! ,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,space,0.28586059500230476,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
The 8 perspectives are as follows:,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,space,0.31952966802055016,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,space,4.269485002965666,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,,,,,0,1,1,6,,,,,,,,,,,,,,,space,0.35253500001272187,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,,,,,,,,,,,,0,2,2,7,,,,,,,,,,,,,,,space,0.41965459199855104,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,space,0.3339126770151779,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,,,,,0,4,4,0,,,,,,,,,,,,,,,space,0.3525860109948553,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,space,0.25293765700189397,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,,,,,,0,6,6,1,,,,,,,,,,,,,,,space,0.2860698850126937,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,,,,,0,7,7,3,,,,,,,,,,,,,,,space,0.23407358501572162,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
You’ll become acquainted with these perspectives more in the following quizzes where you’ll learn the 4 questions associated with each perspective. ,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,space,0.26892629300709814,,,,,,,,,',001,2019_Jun_13_1221,part1_subjective_segmentation,3.0.4,59.975792098803204,
