instruct_text,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,11.746334162016865,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.05270841397577897,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
There are 4 parts of the experiment. ,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.13390263699693605,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
1,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11962528200820088,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1194247099920176,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
"For each short story, you'll be assigned one of these perspectives to assume while you read it. ",,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11925966298440471,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
"In this first part of the experiment, you'll learn 4 questions associated with each perspective that you'll use when reading the stories with that particular perspective. ",,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1341242830385454,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
The 4 questions for each perspective are learned with quizzes. ,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.08590052404906601,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
2,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.15071882196934894,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
"In the second part of the experiment, you will read 8 short stories. ",,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1172948699677363,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5172839050064795,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
"Before each story, you will be assigned a perspective to take on while reading it. ",,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11916018900228664,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
You'll be given a quiz before the story for the 4 questions of the assigned perspective. ,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.16984217503340915,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
You must pass this quiz to move onto the story. ,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.30237585899885744,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
3,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.16988360998220742,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1525204469799064,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
There is a 5 minute time limit for recalling each story. ,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.28422638995107263,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
4,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.15249313099775463,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
