instruct_text,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7373107299999901,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5360608579999848,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
There are 4 parts of the experiment. ,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.31740039800001796,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
1,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.26965148200002886,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.28570858800003407,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
"For each short story, you'll be assigned one of these perspectives to assume while you read it. ",,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.16952013200000238,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
"In this first part of the experiment, you'll learn 4 questions associated with each perspective that you'll use when reading the stories with that particular perspective. ",,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.08565097799998966,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
The 4 questions for each perspective are learned with quizzes. ,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11756482399999868,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
2,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.13644325699999627,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
"In the second part of the experiment, you will read 8 short stories. ",,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10306274000004123,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.15056011799998714,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
"Before each story, you will be assigned a perspective to take on while reading it. ",,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10291334099997584,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
You'll be given a quiz before the story for the 4 questions of the assigned perspective. ,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.20357721999999967,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
You must pass this quiz to move onto the story. ,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.13583236200003057,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
3,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.15351724200002081,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.15361333900000318,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
There is a 5 minute time limit for recalling each story. ,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3034234429999856,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
4,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.18617343200003234,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
"In the fourth part of the experiment, you will be asked questions about each story. ",,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.15058020700001862,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.36976953900000353,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
Questions?,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3042113230000041,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
Let's begin Part 1! ,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5692965750000099,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
The 8 perspectives are as follows:,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.18630266600001733,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.31961057699999174,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.43613078900000346,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.336688415000026,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,,,,,,,,,,,,,,,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.30342171299997744,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3361101379999809,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3365442780000194,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3031526929999586,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,,,,,,,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3526365289999944,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
You’ll become acquainted with these perspectives more in the following quizzes where you’ll learn the 4 questions associated with each perspective. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.4691973369999687,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
"For each perspective, you'll go through all four questions in a sequence. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,space,0.18421585200002255,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
Then you'll get the quiz and indicate which questions you saw in the order in which they appeared in the sequence. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,space,0.11925755100003244,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
You'll indicate the question you select by pressing the number key corresponding to the number in front of the question. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,space,0.1531378729999915,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
"If you indicate the wrong question during the quiz, you'll get the questions presented in the correct order again and restart the quiz. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,space,0.15289175700002033,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
"After you've passed the quizzes for each perspective, you'll do all of the quizzes a final time but without seeing the correct order of the questions beforehand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,space,0.13578123100000994,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
Press space to begin the quizzes!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,space,0.16948345800000197,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,jobphotos/acem.jpg,,"When the clients arrive at the airport, how much time do they have until their flight departs?
",What is the reason for the hold-up at security?,"Toward which gate are the clients walking?
","What section and seat does each client sit in on the plane?
",Are the security guards friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.3698179230000278,space,0.18711192500001061,space,0.1872414150000168,space,0.12033528300003127,space,0.1174801359999833,space,0.8864804059999756,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,jobphotos/acem.jpg,,"When the clients arrive at the airport, how much time do they have until their flight departs?
",What is the reason for the hold-up at security?,"Toward which gate are the clients walking?
","What section and seat does each client sit in on the plane?
",Are the security guards friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,jobphotos/gscem.jpg,,"What is the grocery store like upon entering?
","What items do the clients pick out?
","How many checkout lanes are open and which one do the clients step into?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.5189571649999607,space,0.4365270819999978,space,0.4034457000000202,space,0.37002597200000764,space,0.452237647000004,space,0.5201678939999965,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,jobphotos/gscem.jpg,,"What is the grocery store like upon entering?
","What items do the clients pick out?
","How many checkout lanes are open and which one do the clients step into?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,jobphotos/restaurant_critic.jpg,,How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.4695077430000083,space,0.3865236510000045,space,0.2698422349999987,space,0.133493207000015,space,0.13689028499999267,space,0.1696168299999954,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,jobphotos/restaurant_critic.jpg,,How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,jobphotos/business_reporter.jpg,,"What are the job titles of both of the business people?
","How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.40346097500003,space,0.2696933530000365,space,0.25304017500002374,space,0.22026386599998204,space,0.23670212199999696,space,0.43396210000003066,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,jobphotos/business_reporter.jpg,,"What are the job titles of both of the business people?
","How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,jobphotos/dean.jpg,,"What is the lecture hall like?
","What class are the students in and what is the day’s lecture about?
","What is something taught in lecture?
",What is the next assessment/assignment in class and when is it scheduled/due?,Are the students paying attention?,Are the desks comfortable?,Dean of Academic Studies,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.43723566099998834,space,0.3529348199999731,space,0.2507259040000349,space,0.25046794000002137,space,0.18629720100000213,space,0.43656559999999445,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,jobphotos/dean.jpg,,"What is the lecture hall like?
","What class are the students in and what is the day’s lecture about?
","What is something taught in lecture?
",What is the next assessment/assignment in class and when is it scheduled/due?,Are the students paying attention?,Are the desks comfortable?,Dean of Academic Studies,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,jobphotos/weddingplanner.jpg,,"For how many years has the couple been dating?
","How many diamonds are on the ring and what is the diamond color?
","In/on what item is the ring presented?
","Who does the new fiancee text first?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.4700262700000053,space,0.28604271400001835,space,0.15267591399998537,space,0.1361119830000348,space,0.3026565240000423,space,0.43591249899998274,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
,jobphotos/weddingplanner.jpg,,"For how many years has the couple been dating?
","How many diamonds are on the ring and what is the diamond color?
","In/on what item is the ring presented?
","Who does the new fiancee text first?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_19_1554,part1_subjective_segmentation,3.0.4,59.99234401701993,
