instruct_text,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,key_resp_21.keys,key_resp_21.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,space,0.7052360480010975,,,,,,,,,',001,2019_Jun_20_1258,part1_subjective_segmentation,3.0.4,60.229320730478484,
"In this experiment, you will be assuming the perspectives of various jobs while reading short stories.",0,0,0,0,,,,,,,space,1.7366580849993625,,,,,,,',001,2019_Jun_20_1258,part1_subjective_segmentation,3.0.4,60.229320730478484,
"There are 4 parts of the experiment, and, before you begin, we'll give you a brief overview of all the parts. ",0,1,1,1,,,,,,,space,4.967575098002271,,,,,,,',001,2019_Jun_20_1258,part1_subjective_segmentation,3.0.4,60.229320730478484,
1,0,2,2,2,,,,,,,space,0.5369158620014787,,,,,,,',001,2019_Jun_20_1258,part1_subjective_segmentation,3.0.4,60.229320730478484,
"In the first part, you'll be introduced to the perspectives of 8 different jobs.",0,3,3,3,,,,,,,space,2.1694638330009184,,,,,,,',001,2019_Jun_20_1258,part1_subjective_segmentation,3.0.4,60.229320730478484,
"For each short story, you'll be assigned one of these perspectives to assume while you read it. ",0,4,4,4,,,,,,,space,2.5194349170014902,,,,,,,',001,2019_Jun_20_1258,part1_subjective_segmentation,3.0.4,60.229320730478484,
,,,,,,,,,,,,,space,2.7199305850008386,,,,,',001,2019_Jun_20_1258,part1_subjective_segmentation,3.0.4,60.229320730478484,
,,,,,,,,,,,,,,,space,8.93820389800021,,,',001,2019_Jun_20_1258,part1_subjective_segmentation,3.0.4,60.229320730478484,
,,,,,,,,,,,,,,,,,space,11.321185462998983,',001,2019_Jun_20_1258,part1_subjective_segmentation,3.0.4,60.229320730478484,
The 4 questions for each perspective are learned with quizzes. ,,,,,0,0,0,0,,,space,1.5359128130003228,,,,,,,',001,2019_Jun_20_1258,part1_subjective_segmentation,3.0.4,60.229320730478484,
2,,,,,0,1,1,1,,,space,2.6835168399993563,,,,,,,',001,2019_Jun_20_1258,part1_subjective_segmentation,3.0.4,60.229320730478484,
"In the second part of the experiment, you will read 8 short stories. ",,,,,0,2,2,2,,,space,6.619607520002319,,,,,,,',001,2019_Jun_20_1258,part1_subjective_segmentation,3.0.4,60.229320730478484,
