instruct_text,this_pic,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_8.keys,key_resp_8.rt,participant,session,date,expName,psychopyVersion,frameRate,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,0,0,0,0,space,3.2886781000015617,',001,2019_Mar_01_1111,part1_subjective_segmentation,3.0.4,59.76866180824302,
"In this task, you'll be assuming various perspectives of jobs while reading stories. ",None,0,1,1,1,space,3.9836154320000787,',001,2019_Mar_01_1111,part1_subjective_segmentation,3.0.4,59.76866180824302,
"First, you’ll be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,0,2,2,2,space,3.6028902050020406,',001,2019_Mar_01_1111,part1_subjective_segmentation,3.0.4,59.76866180824302,
"For example, you may be asked to take on the perspective of a Restaurant Critic while you read a story that takes place in a restaurant. ",jobphotos/restaurant_critic.jpg,0,3,3,3,space,2.2865778880004655,',001,2019_Mar_01_1111,part1_subjective_segmentation,3.0.4,59.76866180824302,
"You’ll learn 4 questions associated with each perspective, and you’ll use these to interrogate the stories while assuming that perspective. ",instructions_photos/i2.png,0,4,4,4,space,16.503878933002852,',001,2019_Mar_01_1111,part1_subjective_segmentation,3.0.4,59.76866180824302,
"For example, if you are a Restaurant Critic, you’ll learn to ask questions about the restaurant decor, menus, and the enjoyment of the food. ",jobphotos/restaurant_critic.jpg,0,5,5,5,space,2.4193175950022123,',001,2019_Mar_01_1111,part1_subjective_segmentation,3.0.4,59.76866180824302,
"After learning all the questions in a series of pre-task quizzes, you’ll read 8 stories, applying one perspective you’ve learned to each one. ",instructions_photos/i3.png,0,6,6,6,space,7.669951485000638,',001,2019_Mar_01_1111,part1_subjective_segmentation,3.0.4,59.76866180824302,
"While reading, try to keep in mind the perspective and questions. ",instructions_photos/i3.png,0,7,7,7,space,1.8700216569995973,',001,2019_Mar_01_1111,part1_subjective_segmentation,3.0.4,59.76866180824302,
"After you’re finished reading all the stories, you will be asked to recall the stories and answer questions about them. ",instructions_photos/i4.png,0,8,8,8,space,12.537597959999403,',001,2019_Mar_01_1111,part1_subjective_segmentation,3.0.4,59.76866180824302,
Try to remember the stories and the answers to the questions as you read them for these later tasks. ,None,0,9,9,9,space,3.467440747001092,',001,2019_Mar_01_1111,part1_subjective_segmentation,3.0.4,59.76866180824302,
