count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_correct_perspective,question2_correct_perspective,question3_correct_perspective,question4_correct_perspective,participant,session,date,expName,frameRate,
0,41,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[41 31 24 43 22 14 12 33 23 34 13 21 32 42 11 44],"['Social' 'Location' 'Social' 'Location' 'Location' 'Location' 'Social'
 'Social' 'Social' 'Social' 'Location' 'Location' 'Location' 'Social'
 'Social' 'Location']",1,1.5026673809625208,,,,,,,,,,,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
0,Restaurant Meet Cute,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.3345551239326596,,,,,,,,,,,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
1,31,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,1.4579282329650596,,,,,,,,,,,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
1,Restaurant Business Deal,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.08521843492053449,,,,,,,,,,,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
1,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
,,The next part of the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.9863719639834017,,,,,,,,,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.4348945470992476,,,,,,,,,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.5347901659552008,,,,,,,,,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.31931857706513256,,,,,,,,,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.701320408959873,,,,,,,,,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,Skjfdskldjf,,,,,,,,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
1,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,Hello my dearie poo,,,,,,,,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
2,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
,,The next part of the task is to answer specific questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,space,0.6861159830586985,,,,,,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
,,The next part of the task is to answer specific questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,space,0.33405603491701186,,,,,,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,Teresa of course,,,space,0.7687121820636094,James does,Teresa falls into the wall,James proposes they go on an actual date,Teresa of course,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,Kjdk,,,space,2.3856197099667042,Kjsdflkj,Dkjfslk,Kdjflks,Kjdk,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
2,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,No,,,space,1.3025521209929138,,Kd,No,No,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
3,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,P,,,space,1.3201000369153917,No,No,No,P,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
4,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,F,,,space,0.7678170680301264,F,F,F,F,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
5,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,F,,,space,0.4172533879755065,Ff,F,F,F,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
6,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,F,,,space,0.5687845069915056,F,,F,F,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
7,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,B,,,space,0.6369352609617636,F,B,B,B,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
8,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,B,,,space,0.5849355679238215,Bb,B,Bb,B,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
9,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,space,0.6999067700235173,,B,B,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
10,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,B,,,space,0.5186814800836146,Bb,B,B,B,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
11,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,B,,,space,0.5530121000483632,B,B,B,B,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
12,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,space,0.46815176808740944,B,B,B,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
13,,,,,,,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,space,0.7861717659980059,B,,,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
14,,,,,,,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,space,0.8689031930407509,,,,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
15,,,,,,,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,space,0.4697725859005004,,,,,1000,001,2019_Jan_10_1458,body_behavioural,60.00737246830993,
