count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,frameRate,
0,44,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[44 33 24 12 41 13 21 32 42 31 34 14 11 23 22 43],"['Social' 'Social' 'Location' 'Social' 'Location' 'Location' 'Social'
 'Location' 'Location' 'Location' 'Social' 'Location' 'Social' 'Location'
 'Social' 'Social']",1,0.8017730489373207,,,,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
0,Attending a Lecture Meet Cute,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.417241305927746,,,,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.3842592720175162,,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.2682992280460894,,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.2518903680611402,,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.20205093803815544,,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.21815267589408904,,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,Some,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
1,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,Body,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
2,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,Once,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
3,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,Told,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
4,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,Me ,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
5,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,That,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
6,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,You ,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
7,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,Had ,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
8,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
9,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,Little,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
10,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,Secret,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
11,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
12,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,Locket,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
13,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,In ,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
