count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_correct_perspective,order of question,question2_correct_perspective,question3_correct_perspective,question4_correct_perspective,participant,session,date,expName,frameRate,
0,43,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[43 14 21 42 24 32 33 11 31 34 12 22 13 41 44 23],"['Social' 'Social' 'Social' 'Location' 'Location' 'Social' 'Location'
 'Location' 'Location' 'Social' 'Social' 'Location' 'Location' 'Social'
 'Location' 'Social']",1,0.9193858279613778,,,,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
0,Grocery Shopping Meet Cute,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.25209364597685635,,,,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
,,The next task in the experiment is to recall each story to the best of your ability.,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,1.0346006479812786,,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
,,"You will be presented with the story title, names, the images, and a blank text box for each story.",,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.3522158679552376,,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
,,Describe the story with as many details as you can remember in the space provided. ,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.3021378180710599,,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
,,"When you are finished recalling one story, to move onto the next one hit ‘return’. ",,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.2336477959761396,,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
,,There is no time limit for your responses. ,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.31744261598214507,,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,This,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
1,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,Is ,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
2,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,A s,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
3,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,Tory,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
4,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,About ,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
5,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,A ,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
