count,storyText,locationEvent,socialEvent,locationEventSize,socialEventSize,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_correct_perspective,question2_correct_perspective,question3_correct_perspective,question4_correct_perspective,participant,session,date,expName,frameRate,
0,"Thomas got to Annika’s Finer Diner early, dreading the conversation he was about to have.",1,1,None,None,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,[11 21 42 14 43 32 24 33 34 44 31 13 41 23 22 12],"['Location' 'Social' 'Location' 'Social' 'Social' 'Social' 'Location'
 'Location' 'Location' 'Social' 'Social' 'Social' 'Location' 'Location'
 'Social' 'Location']",1,0.9190949879121035,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,The restaurant had a kitschy charm and was reminiscent of a diner from the 70’s. ,1,1,None,None,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,9,0.08420880697667599,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"A bell chimed as the door swung open, and Sadie entered to find him deep in thought on a bench by the door.",1,1,None,None,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,1,0.049948759959079325,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0, Thomas jumped up and gave her a side hug. ,1,1,None,None,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,9,0.035013493965379894,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,“How was your day?” he asked.,1,1,None,None,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,1,0.10030328703578562,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"She clung onto him, “It was okay. I missed you today.”",1,1,None,None,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,9,0.10151973308529705,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,He looked at the hostess coming toward them.,1,1,None,None,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,1,0.0017588760238140821,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,“Can we have a table in the back?” Thomas asked.,1,1,None,None,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,9,0.08446093299426138,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"She shrugged and, as she loudly popped her bubblegum, replied, "Sure honey, this way."",1,1,9.0,None,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,1,0.017907424014993012,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
0,"She led them to the back of the restaurant, where there were dimly lit tables. ",2,1,None,None,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,9,0.017488807905465364,,,,,,,,,,,,12345,001,2019_Jan_18_1349,body_behavioural,60.3321377037377,
