count,storyText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,41,0,0,0,0,0,0,0,0,[41 24 33 21 13 44 12 32 34 11 14 23 31 22 42 43],"['Location' 'Location' 'Social' 'Social' 'Location' 'Social' 'Social'
 'Location' 'Social' 'Social' 'Location' 'Location' 'Location' 'Social'
 'Location' 'Social']",space,27.92877374996897,space,8.437414749991149,18,001,2019_Jan_03_1142,body_updated,60.00181831341805,
0,Restaurant Meet Cute,0,0,0,0,0,1,1,1,,,,,space,4.101802153978497,18,001,2019_Jan_03_1142,body_updated,60.00181831341805,
0,,0,0,0,0,,,,,,,,,,,18,001,2019_Jan_03_1142,body_updated,60.00181831341805,
1,24,0,1,1,1,0,0,0,0,,,space,3.141659796005115,space,7.37334843899589,18,001,2019_Jan_03_1142,body_updated,60.00181831341805,
1,Attending a Lecture Proposal,0,1,1,1,0,1,1,1,,,,,space,2.9025727279949933,18,001,2019_Jan_03_1142,body_updated,60.00181831341805,
1,,0,1,1,1,,,,,,,,,,,18,001,2019_Jan_03_1142,body_updated,60.00181831341805,
2,33,0,2,2,2,0,0,0,0,,,space,3.9868291380116716,space,7.25348174397368,18,001,2019_Jan_03_1142,body_updated,60.00181831341805,
2,Grocery Shopping Business Deal,0,2,2,2,0,1,1,1,,,,,space,4.502705013030209,18,001,2019_Jan_03_1142,body_updated,60.00181831341805,
2,,0,2,2,2,,,,,,,,,,,18,001,2019_Jan_03_1142,body_updated,60.00181831341805,
3,21,0,3,3,3,0,0,0,0,,,space,5.286712493048981,space,8.573717583087273,18,001,2019_Jan_03_1142,body_updated,60.00181831341805,
3,Restaurant Proposal,0,3,3,3,0,1,1,1,,,,,space,5.386818717001006,18,001,2019_Jan_03_1142,body_updated,60.00181831341805,
3,,0,3,3,3,,,,,,,,,,,18,001,2019_Jan_03_1142,body_updated,60.00181831341805,
4,13,0,4,4,4,0,0,0,0,,,space,6.218435155926272,space,11.022800871985964,18,001,2019_Jan_03_1142,body_updated,60.00181831341805,
4,Grocery Shopping Breakup,0,4,4,4,0,1,1,1,,,,,space,100.11655552894808,18,001,2019_Jan_03_1142,body_updated,60.00181831341805,
4,,0,4,4,4,,,,,,,,,,,18,001,2019_Jan_03_1142,body_updated,60.00181831341805,
