count,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,order,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,0,0,0,0,[14 31 44 21 12 33 42 23 11 34 41 24 13 32 43 22],space,0.36881084501510486,1,001,2018_Dec_07_1708,body,60.04982814691881,
1,0,1,1,1,,space,0.2344698020024225,1,001,2018_Dec_07_1708,body,60.04982814691881,
2,0,2,2,2,,space,0.18489094800315797,1,001,2018_Dec_07_1708,body,60.04982814691881,
3,0,3,3,3,,space,0.18475705495802686,1,001,2018_Dec_07_1708,body,60.04982814691881,
4,0,4,4,4,,space,0.16923060797853395,1,001,2018_Dec_07_1708,body,60.04982814691881,
5,0,5,5,5,,space,0.16842650901526213,1,001,2018_Dec_07_1708,body,60.04982814691881,
6,0,6,6,6,,space,0.1343722500023432,1,001,2018_Dec_07_1708,body,60.04982814691881,
7,0,7,7,7,,space,0.16929741797503084,1,001,2018_Dec_07_1708,body,60.04982814691881,
8,0,8,8,8,,space,0.16795225598616526,1,001,2018_Dec_07_1708,body,60.04982814691881,
9,0,9,9,9,,space,0.16925430000992492,1,001,2018_Dec_07_1708,body,60.04982814691881,
10,0,10,10,10,,space,0.15178357204422355,1,001,2018_Dec_07_1708,body,60.04982814691881,
11,0,11,11,11,,space,0.1839710620115511,1,001,2018_Dec_07_1708,body,60.04982814691881,
12,0,12,12,12,,space,0.16902497300179675,1,001,2018_Dec_07_1708,body,60.04982814691881,
13,0,13,13,13,,space,0.18483114696573466,1,001,2018_Dec_07_1708,body,60.04982814691881,
14,0,14,14,14,,space,0.1678981230361387,1,001,2018_Dec_07_1708,body,60.04982814691881,
15,0,15,15,15,,space,0.16833841195330024,1,001,2018_Dec_07_1708,body,60.04982814691881,
