7.0598 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [2560, 1440]. Using actual size
7.8628 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x125ce1dd8>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x127a668d0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([5120, 2880]), stereo=False, units='norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.8628 	EXP 	window1: recordFrameIntervals = False
8.0286 	EXP 	window1: recordFrameIntervals = True
8.2122 	EXP 	window1: recordFrameIntervals = False
8.3002 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_4', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='norm', win=Window(...), wrapWidth=1)
8.3102 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([ 0. , -0.5]), size=array([0.5, 0.5]), texRes=128, units='norm', win=Window(...))
8.3138 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='norm', win=Window(...), wrapWidth=1)
8.3279 	EXP 	Imported count.xlsx as conditions, 16 conditions, 1 params
8.3282 	EXP 	Created sequence: sequential, trialTypes=16, nReps=1, seed=None
8.3284 	EXP 	New trial (rep=0, index=0): OrderedDict([('count', 0)])
8.5452 	EXP 	text_4: text = 'Dean of Academic Studies'
8.5452 	EXP 	image: image = 'cloisters.jpg'
8.5452 	EXP 	text_4: autoDraw = True
8.5452 	EXP 	image: autoDraw = True
10.5825 	DATA 	Keypress: space
10.5976 	EXP 	text_4: autoDraw = False
10.5976 	EXP 	image: autoDraw = False
10.5976 	EXP 	text: text = 'Attending a Lecture-Breakup'
10.5976 	EXP 	text: autoDraw = True
11.8484 	DATA 	Keypress: space
11.8492 	EXP 	New trial (rep=0, index=1): OrderedDict([('count', 1)])
11.9803 	EXP 	text: autoDraw = False
11.9803 	EXP 	text_4: text = 'Grocery Store Customer Experience Manager'
11.9803 	EXP 	image: image = 'cloisters.jpg'
11.9803 	EXP 	text_4: autoDraw = True
11.9803 	EXP 	image: autoDraw = True
14.4981 	DATA 	Keypress: space
14.5145 	EXP 	text_4: autoDraw = False
14.5145 	EXP 	image: autoDraw = False
14.5145 	EXP 	text: text = 'Grocery Shopping- Business Deal'
14.5145 	EXP 	text: autoDraw = True
16.0495 	DATA 	Keypress: space
16.0502 	EXP 	New trial (rep=0, index=2): OrderedDict([('count', 2)])
16.1086 	EXP 	text: autoDraw = False
16.1086 	EXP 	text_4: text = 'Couples Therapist'
16.1086 	EXP 	image: image = 'leonardo.jpg'
16.1086 	EXP 	text_4: autoDraw = True
16.1086 	EXP 	image: autoDraw = True
16.9831 	DATA 	Keypress: space
16.9981 	EXP 	text_4: autoDraw = False
16.9981 	EXP 	image: autoDraw = False
16.9981 	EXP 	text: text = 'Airport Breakup'
16.9981 	EXP 	text: autoDraw = True
17.6328 	DATA 	Keypress: space
17.6335 	EXP 	New trial (rep=0, index=3): OrderedDict([('count', 3)])
17.7658 	EXP 	text: autoDraw = False
17.7658 	EXP 	text_4: text = 'Airport Customer Experience Manager'
17.7658 	EXP 	image: image = 'cloisters.jpg'
17.7658 	EXP 	text_4: autoDraw = True
17.7658 	EXP 	image: autoDraw = True
18.2998 	DATA 	Keypress: space
18.3155 	EXP 	text_4: autoDraw = False
18.3155 	EXP 	image: autoDraw = False
18.3155 	EXP 	text: text = 'Airport Meet Cute'
18.3155 	EXP 	text: autoDraw = True
18.8667 	DATA 	Keypress: space
18.8674 	EXP 	New trial (rep=0, index=4): OrderedDict([('count', 4)])
18.8992 	EXP 	text: autoDraw = False
18.8992 	EXP 	text_4: text = 'Matchmaker'
18.8992 	EXP 	image: image = 'leonardo.jpg'
18.8992 	EXP 	text_4: autoDraw = True
18.8992 	EXP 	image: autoDraw = True
19.3001 	DATA 	Keypress: space
19.3160 	EXP 	text_4: autoDraw = False
19.3160 	EXP 	image: autoDraw = False
19.3160 	EXP 	text: text = 'Attending a Lecture-Meet Cute'
19.3160 	EXP 	text: autoDraw = True
19.6834 	DATA 	Keypress: space
19.6840 	EXP 	New trial (rep=0, index=5): OrderedDict([('count', 5)])
19.7155 	EXP 	text: autoDraw = False
19.7155 	EXP 	text_4: text = 'Business Reporter'
19.7155 	EXP 	image: image = 'leonardo.jpg'
19.7155 	EXP 	text_4: autoDraw = True
19.7155 	EXP 	image: autoDraw = True
20.0518 	DATA 	Keypress: space
20.0820 	EXP 	text_4: autoDraw = False
20.0820 	EXP 	image: autoDraw = False
