instruct_text,instruct_text2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),0,0,0,0,space,1.4688241600015317,1,001,2018_Nov_05_1524,part1,60.18788539107961,
Welcome to the Job Simulator Task!,(press the space bar to continue),0,0,0,0,,,1,001,2018_Nov_05_1524,part1,60.18788539107961,
"In this task, you will read 16 stories. During each one you will simulate having one job.
",None,0,1,1,1,space,3.469594887996209,1,001,2018_Nov_05_1524,part1,60.18788539107961,
"In this task, you will read 16 stories. During each one you will simulate having one job.
",None,0,1,1,1,,,1,001,2018_Nov_05_1524,part1,60.18788539107961,
This job will be assigned to you before each story. ,None,0,2,2,2,space,4.236534719995689,1,001,2018_Nov_05_1524,part1,60.18788539107961,
This job will be assigned to you before each story. ,None,0,2,2,2,,,1,001,2018_Nov_05_1524,part1,60.18788539107961,
"While reading each story, you should imagine yourself as having that job. ",None,0,3,3,3,space,6.869705108001654,1,001,2018_Nov_05_1524,part1,60.18788539107961,
"While reading each story, you should imagine yourself as having that job. ",None,0,3,3,3,,,1,001,2018_Nov_05_1524,part1,60.18788539107961,
There are 8 possible jobs you could be asked to assume.,None,0,4,4,4,space,15.42307459100266,1,001,2018_Nov_05_1524,part1,60.18788539107961,
There are 8 possible jobs you could be asked to assume.,None,0,4,4,4,,,1,001,2018_Nov_05_1524,part1,60.18788539107961,
"In addition, your task will be to answer job-related questions.
",None,0,5,5,5,space,2.9028109700011555,1,001,2018_Nov_05_1524,part1,60.18788539107961,
"In addition, your task will be to answer job-related questions.
",None,0,5,5,5,,,1,001,2018_Nov_05_1524,part1,60.18788539107961,
There are four question particular to each job.,None,0,6,6,6,space,16.20619497699954,1,001,2018_Nov_05_1524,part1,60.18788539107961,
There are four question particular to each job.,None,0,6,6,6,,,1,001,2018_Nov_05_1524,part1,60.18788539107961,
You will have to try to memorize these questions and then remember your answers to the questions.,None,0,7,7,7,space,8.387701114996162,1,001,2018_Nov_05_1524,part1,60.18788539107961,
You will have to try to memorize these questions and then remember your answers to the questions.,None,0,7,7,7,,,1,001,2018_Nov_05_1524,part1,60.18788539107961,
You will asked about the answers to these questions at end of the experiment. ,None,0,8,8,8,space,1.8014321630034829,1,001,2018_Nov_05_1524,part1,60.18788539107961,
You will asked about the answers to these questions at end of the experiment. ,None,0,8,8,8,,,1,001,2018_Nov_05_1524,part1,60.18788539107961,
"In order to help you memorize the questions, there will be a short quiz on them before the actual task begins.",None,0,9,9,9,space,3.220588171003328,1,001,2018_Nov_05_1524,part1,60.18788539107961,
"In order to help you memorize the questions, there will be a short quiz on them before the actual task begins.",None,0,9,9,9,,,1,001,2018_Nov_05_1524,part1,60.18788539107961,
"In addition, before each story, there will be a reminder of what these questions are.  ",None,0,10,10,10,space,3.8353605509983026,1,001,2018_Nov_05_1524,part1,60.18788539107961,
"In addition, before each story, there will be a reminder of what these questions are.  ",None,0,10,10,10,,,1,001,2018_Nov_05_1524,part1,60.18788539107961,
Press the space bar to begin learning the jobs and the questions for each one.,None,0,11,11,11,space,1.266174898002646,1,001,2018_Nov_05_1524,part1,60.18788539107961,
Press the space bar to begin learning the jobs and the questions for each one.,None,0,11,11,11,,,1,001,2018_Nov_05_1524,part1,60.18788539107961,
