instruct_text,instruct_text2,thisRole,roleName,rolePic,thisQuestion,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_10.keys,key_resp_10.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,,,0,0,0,0,,,,,,,,,space,0.40602483799739275,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,,,0,0,0,0,,,,,,,,,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
"In this task, you will read 16 stories. During each one you will simulate having one job.
",None,,,,,0,1,1,1,,,,,,,,,space,0.1692371440003626,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
"In this task, you will read 16 stories. During each one you will simulate having one job.
",None,,,,,0,1,1,1,,,,,,,,,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
This job will be assigned to you before each story. ,None,,,,,0,2,2,2,,,,,,,,,space,0.11818782200862188,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
This job will be assigned to you before each story. ,None,,,,,0,2,2,2,,,,,,,,,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
"While reading each story, you should imagine yourself as having that job. ",None,,,,,0,3,3,3,,,,,,,,,space,0.11851881298935041,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
"While reading each story, you should imagine yourself as having that job. ",None,,,,,0,3,3,3,,,,,,,,,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
There are 8 possible jobs you could be asked to simulate.,None,,,,,0,4,4,4,,,,,,,,,space,0.06856329800211824,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
There are 8 possible jobs you could be asked to simulate.,None,,,,,0,4,4,4,,,,,,,,,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
"In addition, your task will be to answer job-related questions.
",None,,,,,0,5,5,5,,,,,,,,,space,0.11795610000262968,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
"In addition, your task will be to answer job-related questions.
",None,,,,,0,5,5,5,,,,,,,,,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
There are four question per job.,None,,,,,0,6,6,6,,,,,,,,,space,0.11829235299956053,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
There are four question per job.,None,,,,,0,6,6,6,,,,,,,,,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
You will have to try to memorize these questions and then remember your answers to the questions.,None,,,,,0,7,7,7,,,,,,,,,space,0.1014884830074152,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
You will have to try to memorize these questions and then remember your answers to the questions.,None,,,,,0,7,7,7,,,,,,,,,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
You will asked about the answers to these questions at end of the experiment. ,None,,,,,0,8,8,8,,,,,,,,,space,0.11806580300617497,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
You will asked about the answers to these questions at end of the experiment. ,None,,,,,0,8,8,8,,,,,,,,,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
"In order to help you memorize the questions, there will be a short quiz on them before the actual task begins.",None,,,,,0,9,9,9,,,,,,,,,space,0.3242774820100749,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
"In order to help you memorize the questions, there will be a short quiz on them before the actual task begins.",None,,,,,0,9,9,9,,,,,,,,,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
"In addition, before each story, there will be a reminder of what these questions are.  ",None,,,,,0,10,10,10,,,,,,,,,space,0.25135316800151486,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
"In addition, before each story, there will be a reminder of what these questions are.  ",None,,,,,0,10,10,10,,,,,,,,,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
Press the space bar to begin learning the jobs and the questions for each one.,None,,,,,0,11,11,11,,,,,,,,,space,0.3515222380083287,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
Press the space bar to begin learning the jobs and the questions for each one.,None,,,,,0,11,11,11,,,,,,,,,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_br.xlsx,Business Reporter,business_reporter.jpg,"1: What industry are the business people in?
",,,,,0,0,0,0,0,0,0,0,,,space,1.201699475001078,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_br.xlsx,Business Reporter,business_reporter.jpg,"1: What industry are the business people in?
",,,,,0,0,0,0,0,0,0,0,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_br.xlsx,Business Reporter,business_reporter.jpg,"2: What is being negotiated and how much money is at stake?
",,,,,0,0,0,0,0,1,1,1,,,space,1.167275038009393,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_br.xlsx,Business Reporter,business_reporter.jpg,"2: What is being negotiated and how much money is at stake?
",,,,,0,0,0,0,0,1,1,1,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_br.xlsx,Business Reporter,business_reporter.jpg,3: What is the response to the proposed deal? ,,,,,0,0,0,0,0,2,2,2,,,space,0.8851171930000419,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_br.xlsx,Business Reporter,business_reporter.jpg,3: What is the response to the proposed deal? ,,,,,0,0,0,0,0,2,2,2,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_br.xlsx,Business Reporter,business_reporter.jpg,"4: What comes about from the business proposal?
",,,,,0,0,0,0,0,3,3,3,,,space,1.2010689119924791,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_br.xlsx,Business Reporter,business_reporter.jpg,"4: What comes about from the business proposal?
",,,,,0,0,0,0,0,3,3,3,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_br.xlsx,Business Reporter,business_reporter.jpg,,,,,,0,0,0,0,,,,,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_rc.xlsx,Restaurant Critic,restaurant_critic.jpg,"1: How is the restaurant decorated?
",,,,,0,1,1,1,0,0,0,0,,,space,1.7356845829926897,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_rc.xlsx,Restaurant Critic,restaurant_critic.jpg,"1: How is the restaurant decorated?
",,,,,0,1,1,1,0,0,0,0,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_rc.xlsx,Restaurant Critic,restaurant_critic.jpg,"2: What are the menus like?
",,,,,0,1,1,1,0,1,1,1,,,space,0.5672724780015415,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_rc.xlsx,Restaurant Critic,restaurant_critic.jpg,"2: What are the menus like?
",,,,,0,1,1,1,0,1,1,1,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_rc.xlsx,Restaurant Critic,restaurant_critic.jpg,"3: What do the clients order?
",,,,,0,1,1,1,0,2,2,2,,,space,0.33499449500232004,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_rc.xlsx,Restaurant Critic,restaurant_critic.jpg,"3: What do the clients order?
",,,,,0,1,1,1,0,2,2,2,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_rc.xlsx,Restaurant Critic,restaurant_critic.jpg,"4: How do the clients like the food?
",,,,,0,1,1,1,0,3,3,3,,,space,0.33374752599047497,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_rc.xlsx,Restaurant Critic,restaurant_critic.jpg,"4: How do the clients like the food?
",,,,,0,1,1,1,0,3,3,3,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_rc.xlsx,Restaurant Critic,restaurant_critic.jpg,,,,,,0,1,1,1,,,,,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_br.xlsx,Business Reporter,business_reporter.jpg,"1: What industry are the business people in?
",,,,,1,0,2,0,0,0,0,0,,,space,0.6015892580035143,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_br.xlsx,Business Reporter,business_reporter.jpg,"1: What industry are the business people in?
",,,,,1,0,2,0,0,0,0,0,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_br.xlsx,Business Reporter,business_reporter.jpg,"2: What is being negotiated and how much money is at stake?
",,,,,1,0,2,0,0,1,1,1,,,space,0.16904907699790783,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_br.xlsx,Business Reporter,business_reporter.jpg,"2: What is being negotiated and how much money is at stake?
",,,,,1,0,2,0,0,1,1,1,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_br.xlsx,Business Reporter,business_reporter.jpg,3: What is the response to the proposed deal? ,,,,,1,0,2,0,0,2,2,2,,,space,0.15168711199657992,1,001,2018_Nov_05_1628,part1,60.13260236880361,
,,q_br.xlsx,Business Reporter,business_reporter.jpg,3: What is the response to the proposed deal? ,,,,,1,0,2,0,0,2,2,2,,,,,1,001,2018_Nov_05_1628,part1,60.13260236880361,
