instruct_text,instruct_text2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,rolePic,key_resp_6.keys,key_resp_6.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),0,0,0,0,,,,,,,,,,,,,space,0.2515641509962734,,,,,,,,,1,001,2018_Nov_08_1704,part1,59.68981257136617,
"In this task, you will read 16 stories. During each one you will simulate having one job.
",None,0,1,1,1,,,,,,,,,,,,,space,0.13506090399459936,,,,,,,,,1,001,2018_Nov_08_1704,part1,59.68981257136617,
This job will be assigned to you before each story. ,None,0,2,2,2,,,,,,,,,,,,,space,0.1841340059763752,,,,,,,,,1,001,2018_Nov_08_1704,part1,59.68981257136617,
"While reading each story, you should imagine yourself as having that job. ",None,0,3,3,3,,,,,,,,,,,,,space,0.8997233769914601,,,,,,,,,1,001,2018_Nov_08_1704,part1,59.68981257136617,
There are 8 possible jobs you could be asked to simulate.,None,0,4,4,4,,,,,,,,,,,,,space,0.11750511897844262,,,,,,,,,1,001,2018_Nov_08_1704,part1,59.68981257136617,
"In addition, your task will be to answer job-related questions.
",None,0,5,5,5,,,,,,,,,,,,,space,0.1187528150039725,,,,,,,,,1,001,2018_Nov_08_1704,part1,59.68981257136617,
There are four question per job.,None,0,6,6,6,,,,,,,,,,,,,space,0.13480186800006777,,,,,,,,,1,001,2018_Nov_08_1704,part1,59.68981257136617,
You will have to try to memorize these questions and then remember your answers to the questions.,None,0,7,7,7,,,,,,,,,,,,,space,0.13464343099622056,,,,,,,,,1,001,2018_Nov_08_1704,part1,59.68981257136617,
You will asked about the answers to these questions at end of the experiment. ,None,0,8,8,8,,,,,,,,,,,,,space,0.3683738920080941,,,,,,,,,1,001,2018_Nov_08_1704,part1,59.68981257136617,
"In order to help you memorize the questions, there will be a short quiz on them before the actual task begins.",None,0,9,9,9,,,,,,,,,,,,,space,0.13463648699689656,,,,,,,,,1,001,2018_Nov_08_1704,part1,59.68981257136617,
"In addition, before each story, there will be a reminder of what these questions are.  ",None,0,10,10,10,,,,,,,,,,,,,space,0.2849572279956192,,,,,,,,,1,001,2018_Nov_08_1704,part1,59.68981257136617,
Press the space bar to begin learning the jobs and the questions for each one.,None,0,11,11,11,,,,,,,,,,,,,space,0.11912940299953334,,,,,,,,,1,001,2018_Nov_08_1704,part1,59.68981257136617,
,,,,,,,,,,,,,,,,,,,,space,0.6213612330029719,space,0.23494713197578676,space,0.4849341390072368,space,0.4828287959971931,,,,,,
