Q1,Q2,Q3,Q4,D1,D2,roleName,rolePic,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,frameRate,
What industry are the business people in?,What is being negotiated and how much money is at stake?,What is the response to the proposed deal?,What comes about from the business proposal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,business_reporter.jpg,0,0,0,0,0,0,0,0,space,0.38830246301949956,space,0.35171876900130883,space,0.435761406988604,space,0.40128883498255163,1,001,2018_Nov_12_1110,part1,60.31283095853832,
What industry are the business people in?,What is being negotiated and how much money is at stake?,What is the response to the proposed deal?,What comes about from the business proposal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,business_reporter.jpg,0,0,0,0,,,,,,,,,,,,,1,001,2018_Nov_12_1110,part1,60.31283095853832,
"Who notices who first and why do they notice the other?
","How does the couple start talking?
","Which of the people proposes going on an actual date and what do they propose?
","Who leaves first and why do they have to go?
",Is the couple going to get married?,Who shows more interest?,Matchmaker,matchmaker.jpg,0,1,1,2,0,0,0,0,space,0.5684771810192615,space,0.3177617290057242,space,0.31823321600677446,space,0.36935987501055934,1,001,2018_Nov_12_1110,part1,60.31283095853832,
"Who notices who first and why do they notice the other?
","How does the couple start talking?
","Which of the people proposes going on an actual date and what do they propose?
","Who leaves first and why do they have to go?
",Is the couple going to get married?,Who shows more interest?,Matchmaker,matchmaker.jpg,0,1,1,2,,,,,,,,,,,,,1,001,2018_Nov_12_1110,part1,60.31283095853832,
"How does the person who is initiating the breakup feel before they do it?
","Why does the initiator want to break up?
","How does the person being broken up with respond?
",Do the partners leave on good terms?,Does the person being broken up with expect that this is coming?,For how long has the initiator been wanting to break up?,"Couples Therapist
",couples.jpeg,0,2,2,7,0,0,0,0,space,0.5193202849768568,space,0.2852275969926268,space,0.6517762120056432,space,0.7190430750197265,1,001,2018_Nov_12_1110,part1,60.31283095853832,
"How does the person who is initiating the breakup feel before they do it?
","Why does the initiator want to break up?
","How does the person being broken up with respond?
",Do the partners leave on good terms?,Does the person being broken up with expect that this is coming?,For how long has the initiator been wanting to break up?,"Couples Therapist
",couples.jpeg,0,2,2,7,,,,,,,,,,,,,1,001,2018_Nov_12_1110,part1,60.31283095853832,
"What is the lecture hall like?
","What class are the students  in and what is the day’s lecture about?
","What is something taught in lecture?
",When is the next assessment in the class?,Are the students paying attention?,Are the desks comfortable?,Dean of Academic Studies,dean.jpg,0,3,3,6,0,0,0,0,space,0.40213785800733604,space,4.836452243995154,space,0.7172938589937985,space,0.5679151710064616,1,001,2018_Nov_12_1110,part1,60.31283095853832,
"What is the lecture hall like?
","What class are the students  in and what is the day’s lecture about?
","What is something taught in lecture?
",When is the next assessment in the class?,Are the students paying attention?,Are the desks comfortable?,Dean of Academic Studies,dean.jpg,0,3,3,6,,,,,,,,,,,,,1,001,2018_Nov_12_1110,part1,60.31283095853832,
"How does the person who proposed feel before proposing?
","What is the ring like?
","Does anyone besides the person proposing help with the proposal?
","Who witnessed the “yes”?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,weddingplanner.jpg,0,4,4,3,0,0,0,0,space,0.30181994900340214,space,0.35193635601899587,space,0.2684240870003123,space,0.38525325097725727,1,001,2018_Nov_12_1110,part1,60.31283095853832,
"How does the person who proposed feel before proposing?
","What is the ring like?
","Does anyone besides the person proposing help with the proposal?
","Who witnessed the “yes”?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,weddingplanner.jpg,0,4,4,3,1,0,1,0,space,0.31846465202397667,space,0.0356199569941964,space,0.13545587900443934,space,0.45187143702059984,1,001,2018_Nov_12_1110,part1,60.31283095853832,
"How does the person who proposed feel before proposing?
","What is the ring like?
","Does anyone besides the person proposing help with the proposal?
","Who witnessed the “yes”?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,weddingplanner.jpg,0,4,4,3,,,,,,,,,,,,,1,001,2018_Nov_12_1110,part1,60.31283095853832,
"When the clients arrive at the airport, how much time do they have to go through?
","What do the clients have do at security to comply with the security check?
","How do the clients feel when they are  walking to the gates?
",Where does each client sit on the plane?,Are the security guides friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,acem.jpg,0,5,5,4,0,0,0,0,space,1.670053593988996,space,0.31925913301529363,space,0.32085896100034006,space,1.8241493859968614,1,001,2018_Nov_12_1110,part1,60.31283095853832,
"When the clients arrive at the airport, how much time do they have to go through?
","What do the clients have do at security to comply with the security check?
","How do the clients feel when they are  walking to the gates?
",Where does each client sit on the plane?,Are the security guides friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,acem.jpg,0,5,5,4,,,,,,,,,,,,,1,001,2018_Nov_12_1110,part1,60.31283095853832,
How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,restaurant_critic.jpg,0,6,6,1,0,0,0,0,space,0.6547856090182904,space,0.25192777102347463,space,0.36924074799753726,space,0.33251564801321365,1,001,2018_Nov_12_1110,part1,60.31283095853832,
How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,restaurant_critic.jpg,0,6,6,1,,,,,,,,,,,,,1,001,2018_Nov_12_1110,part1,60.31283095853832,
"What is the grocery store like upon entering?
","What items do the clients pick out?
","How is the checkout line and how long do the clients wait in line?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",gscem.jpg,0,7,7,5,0,0,0,0,space,3.902576313004829,space,0.46818465102114715,space,0.4683356349996757,space,0.45142648700857535,1,001,2018_Nov_12_1110,part1,60.31283095853832,
"What is the grocery store like upon entering?
","What items do the clients pick out?
","How is the checkout line and how long do the clients wait in line?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",gscem.jpg,0,7,7,5,,,,,,,,,,,,,1,001,2018_Nov_12_1110,part1,60.31283095853832,
