instruct_text,instruct_text2,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,instructText,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,(press the space bar to continue),,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4992615550290793,,,,,,,,,,,,,,,,,,,1,001,2019_Jan_04_1420,part1_subjective_segmentation,60.01443142180131,
"In this task, you will read 16 stories.",None,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.21850693901069462,,,,,,,,,,,,,,,,,,,1,001,2019_Jan_04_1420,part1_subjective_segmentation,60.01443142180131,
"Before each story you will be assigned a perspective of a particular career to assume while reading that story.
",None,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.18556796596385539,,,,,,,,,,,,,,,,,,,1,001,2019_Jan_04_1420,part1_subjective_segmentation,60.01443142180131,
You should read the story according to the designated perspective.,None,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.18520365504082292,,,,,,,,,,,,,,,,,,,1,001,2019_Jan_04_1420,part1_subjective_segmentation,60.01443142180131,
The perspectives are as follows:,None,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3842829109635204,,,,,,,,,,,,,,,,,,,1,001,2019_Jan_04_1420,part1_subjective_segmentation,60.01443142180131,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5688812809530646,,,,,,,,,,,,,,,,,1,001,2019_Jan_04_1420,part1_subjective_segmentation,60.01443142180131,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.35119829699397087,,,,,,,,,,,,,,,,,1,001,2019_Jan_04_1420,part1_subjective_segmentation,60.01443142180131,
,,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3201447300380096,,,,,,,,,,,,,,,,,1,001,2019_Jan_04_1420,part1_subjective_segmentation,60.01443142180131,
,,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3020279130432755,,,,,,,,,,,,,,,,,1,001,2019_Jan_04_1420,part1_subjective_segmentation,60.01443142180131,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2854463009862229,,,,,,,,,,,,,,,,,1,001,2019_Jan_04_1420,part1_subjective_segmentation,60.01443142180131,
