count,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,order of stories,order of perspectives,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,0,0,0,0,[32 43 12 34 14 21 23 41 11 44 22 31 33 13 42 24],"['Location' 'Location' 'Social' 'Social' 'Location' 'Location' 'Social'
 'Social' 'Social' 'Location' 'Location' 'Location' 'Social' 'Location'
 'Social' 'Social']",space,0.5391754289157689,space,0.7519140270305797,33,001,2018_Dec_13_1531,body,59.98074462386676,
1,0,1,1,1,,,space,0.1348492919933051,space,0.20178457396104932,33,001,2018_Dec_13_1531,body,59.98074462386676,
2,0,2,2,2,,,space,0.13578010397031903,space,0.15235034900251776,33,001,2018_Dec_13_1531,body,59.98074462386676,
3,0,3,3,3,,,space,0.13501791993621737,space,0.4847567279357463,33,001,2018_Dec_13_1531,body,59.98074462386676,
4,0,4,4,4,,,space,0.017019152990542352,space,0.1354477390414104,33,001,2018_Dec_13_1531,body,59.98074462386676,
5,0,5,5,5,,,space,0.05240743199829012,space,0.15119547804351896,33,001,2018_Dec_13_1531,body,59.98074462386676,
6,0,6,6,6,,,space,0.13491602195426822,space,0.15261191106401384,33,001,2018_Dec_13_1531,body,59.98074462386676,
7,0,7,7,7,,,space,0.11917095899116248,space,0.13521562004461884,33,001,2018_Dec_13_1531,body,59.98074462386676,
8,0,8,8,8,,,space,0.33518465305678546,space,0.33603999798651785,33,001,2018_Dec_13_1531,body,59.98074462386676,
9,0,9,9,9,,,space,0.0504535649670288,space,0.1176862739957869,33,001,2018_Dec_13_1531,body,59.98074462386676,
10,0,10,10,10,,,space,0.05143573903478682,space,0.15149721398483962,33,001,2018_Dec_13_1531,body,59.98074462386676,
11,0,11,11,11,,,space,0.05272321600932628,space,0.16806338797323406,33,001,2018_Dec_13_1531,body,59.98074462386676,
12,0,12,12,12,,,space,0.13572391297202557,space,0.1674772339174524,33,001,2018_Dec_13_1531,body,59.98074462386676,
13,0,13,13,13,,,space,0.05241891497280449,space,0.15174578898586333,33,001,2018_Dec_13_1531,body,59.98074462386676,
14,0,14,14,14,,,space,0.13506148697342724,space,0.16841087699867785,33,001,2018_Dec_13_1531,body,59.98074462386676,
15,0,15,15,15,,,space,0.1353328450350091,space,0.16790659609250724,33,001,2018_Dec_13_1531,body,59.98074462386676,
