4.0276 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [2560, 1440]. Using actual size
4.7010 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x1243d9dd8>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x12686f8d0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([5120, 2880]), stereo=False, units='norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.7010 	EXP 	window1: recordFrameIntervals = False
4.8665 	EXP 	window1: recordFrameIntervals = True
5.0507 	EXP 	window1: recordFrameIntervals = False
5.1169 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_4', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='norm', win=Window(...), wrapWidth=1)
5.1186 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([ 0. , -0.5]), size=array([0.5, 0.5]), texRes=128, units='norm', win=Window(...))
5.1222 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='norm', win=Window(...), wrapWidth=1)
5.1296 	EXP 	Imported count.xlsx as conditions, 16 conditions, 1 params
5.1299 	EXP 	Created sequence: sequential, trialTypes=16, nReps=1, seed=None
5.1302 	EXP 	New trial (rep=0, index=0): OrderedDict([('count', 0)])
5.3308 	EXP 	text_4: text = 'Airport Customer Experience Manager'
5.3308 	EXP 	image: image = 'cloisters.jpg'
5.3308 	EXP 	text_4: autoDraw = True
5.3308 	EXP 	image: autoDraw = True
5.8697 	DATA 	Keypress: space
5.8831 	EXP 	text_4: autoDraw = False
5.8831 	EXP 	image: autoDraw = False
5.8831 	EXP 	text: text = 'Airport Business Deal'
5.8831 	EXP 	text: autoDraw = True
6.6346 	DATA 	Keypress: space
6.6355 	EXP 	New trial (rep=0, index=1): OrderedDict([('count', 1)])
6.7669 	EXP 	text: autoDraw = False
6.7669 	EXP 	text_4: text = 'Grocery Store Customer Experience Manager'
6.7669 	EXP 	image: image = 'cloisters.jpg'
6.7669 	EXP 	text_4: autoDraw = True
6.7669 	EXP 	image: autoDraw = True
6.9015 	DATA 	Keypress: space
6.9171 	EXP 	text_4: autoDraw = False
6.9171 	EXP 	image: autoDraw = False
6.9171 	EXP 	text: text = 'Grocery Shopping- Meet Cute'
6.9171 	EXP 	text: autoDraw = True
7.1186 	DATA 	Keypress: space
7.1193 	EXP 	New trial (rep=0, index=2): OrderedDict([('count', 2)])
7.1498 	EXP 	text: autoDraw = False
7.1498 	EXP 	text_4: text = 'Couples Therapist'
7.1498 	EXP 	image: image = 'leonardo.jpg'
7.1498 	EXP 	text_4: autoDraw = True
7.1498 	EXP 	image: autoDraw = True
7.2853 	DATA 	Keypress: space
7.3002 	EXP 	text_4: autoDraw = False
7.3002 	EXP 	image: autoDraw = False
7.3002 	EXP 	text: text = 'Airport Breakup'
7.3002 	EXP 	text: autoDraw = True
7.4522 	DATA 	Keypress: space
7.4529 	EXP 	New trial (rep=0, index=3): OrderedDict([('count', 3)])
7.4840 	EXP 	text: autoDraw = False
7.4840 	EXP 	text_4: text = 'Business Reporter'
7.4840 	EXP 	image: image = 'leonardo.jpg'
7.4840 	EXP 	text_4: autoDraw = True
7.4840 	EXP 	image: autoDraw = True
7.6187 	DATA 	Keypress: space
7.6339 	EXP 	text_4: autoDraw = False
7.6339 	EXP 	image: autoDraw = False
7.6339 	EXP 	text: text = 'Attending a Lecture-Business Deal'
7.6339 	EXP 	text: autoDraw = True
8.1183 	DATA 	Keypress: space
8.1191 	EXP 	New trial (rep=0, index=4): OrderedDict([('count', 4)])
8.2513 	EXP 	text: autoDraw = False
8.2513 	EXP 	text_4: text = 'Dean of Academic Studies'
8.2513 	EXP 	image: image = 'cloisters.jpg'
8.2513 	EXP 	text_4: autoDraw = True
8.2513 	EXP 	image: autoDraw = True
8.2681 	DATA 	Keypress: space
8.2835 	EXP 	text_4: autoDraw = False
8.2835 	EXP 	image: autoDraw = False
8.2835 	EXP 	text: text = 'Attending a Lecture-Breakup'
8.2835 	EXP 	text: autoDraw = True
8.4186 	DATA 	Keypress: space
8.4193 	EXP 	New trial (rep=0, index=5): OrderedDict([('count', 5)])
8.5501 	EXP 	text: autoDraw = False
8.5501 	EXP 	text_4: text = ' Restaurant Critic'
8.5501 	EXP 	image: image = 'cloisters.jpg'
8.5501 	EXP 	text_4: autoDraw = True
8.5501 	EXP 	image: autoDraw = True
8.6023 	DATA 	Keypress: space
8.6176 	EXP 	text_4: autoDraw = False
8.6176 	EXP 	image: autoDraw = False
8.6176 	EXP 	text: text = 'Restaurant Proposal'
8.6176 	EXP 	text: autoDraw = True
8.7685 	DATA 	Keypress: space
8.7693 	EXP 	New trial (rep=0, index=6): OrderedDict([('count', 6)])
8.8006 	EXP 	text: autoDraw = False
8.8006 	EXP 	text_4: text = 'Wedding Planner'
8.8006 	EXP 	image: image = 'leonardo.jpg'
8.8006 	EXP 	text_4: autoDraw = True
8.8006 	EXP 	image: autoDraw = True
8.9352 	DATA 	Keypress: space
8.9509 	EXP 	text_4: autoDraw = False
8.9509 	EXP 	image: autoDraw = False
8.9509 	EXP 	text: text = 'Grocery Shopping- Proposal'
8.9509 	EXP 	text: autoDraw = True
9.1032 	DATA 	Keypress: space
9.1039 	EXP 	New trial (rep=0, index=7): OrderedDict([('count', 7)])
9.1345 	EXP 	text: autoDraw = False
9.1345 	EXP 	text_4: text = 'Matchmaker'
9.1345 	EXP 	image: image = 'leonardo.jpg'
9.1345 	EXP 	text_4: autoDraw = True
9.1345 	EXP 	image: autoDraw = True
9.2533 	DATA 	Keypress: space
9.2682 	EXP 	text_4: autoDraw = False
9.2682 	EXP 	image: autoDraw = False
9.2682 	EXP 	text: text = 'Restaurant Meet Cute'
9.2682 	EXP 	text: autoDraw = True
9.4031 	DATA 	Keypress: space
9.4039 	EXP 	New trial (rep=0, index=8): OrderedDict([('count', 8)])
9.4354 	EXP 	text: autoDraw = False
9.4354 	EXP 	text_4: text = 'Couples Therapist'
9.4354 	EXP 	image: image = 'leonardo.jpg'
9.4354 	EXP 	text_4: autoDraw = True
9.4354 	EXP 	image: autoDraw = True
9.7703 	DATA 	Keypress: space
9.7845 	EXP 	text_4: autoDraw = False
9.7845 	EXP 	image: autoDraw = False
9.7845 	EXP 	text: text = 'Restaurant Breakup'
9.7845 	EXP 	text: autoDraw = True
10.1202 	DATA 	Keypress: space
10.1210 	EXP 	New trial (rep=0, index=9): OrderedDict([('count', 9)])
10.2513 	EXP 	text: autoDraw = False
10.2513 	EXP 	text_4: text = 'Dean of Academic Studies'
10.2513 	EXP 	image: image = 'cloisters.jpg'
10.2513 	EXP 	text_4: autoDraw = True
10.2513 	EXP 	image: autoDraw = True
