186.1106 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [2560, 1440]. Using actual size
186.8533 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x1245a8d68>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1282d1240>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([5120, 2880]), stereo=False, units='norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
186.8533 	EXP 	window1: recordFrameIntervals = False
187.0204 	EXP 	window1: recordFrameIntervals = True
187.2036 	EXP 	window1: recordFrameIntervals = False
187.2903 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='norm', win=Window(...), wrapWidth=1)
187.3039 	EXP 	Imported count.xlsx as conditions, 16 conditions, 1 params
187.3042 	EXP 	Created sequence: sequential, trialTypes=16, nReps=1, seed=None
187.3044 	EXP 	New trial (rep=0, index=0): OrderedDict([('count', 0)])
187.3370 	EXP 	text: text = 'Airport Meet Cute'
187.3370 	EXP 	text: autoDraw = True
192.3408 	DATA 	Keypress: space
192.3418 	EXP 	New trial (rep=0, index=1): OrderedDict([('count', 1)])
192.3719 	EXP 	text: autoDraw = False
192.3719 	EXP 	text: text = 'Attending a Lecture-Proposal'
192.3719 	EXP 	text: autoDraw = True
194.6078 	DATA 	Keypress: space
194.6218 	EXP 	New trial (rep=0, index=2): OrderedDict([('count', 2)])
