count,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,order,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,0,0,0,0,[14 21 44 31 13 22 43 32 11 24 41 34 12 23 42 33],space,0.9529900730121881,,001,2018_Dec_11_1249,body,59.79215458861824,
1,0,1,1,1,,space,0.6858423709636554,,001,2018_Dec_11_1249,body,59.79215458861824,
2,0,2,2,2,,space,0.7685475239995867,,001,2018_Dec_11_1249,body,59.79215458861824,
3,0,3,3,3,,space,0.5688146029715426,,001,2018_Dec_11_1249,body,59.79215458861824,
4,0,4,4,4,,space,0.40140237199375406,,001,2018_Dec_11_1249,body,59.79215458861824,
5,0,5,5,5,,space,0.4523352590040304,,001,2018_Dec_11_1249,body,59.79215458861824,
6,0,6,6,6,,space,0.9677869789884426,,001,2018_Dec_11_1249,body,59.79215458861824,
7,0,7,7,7,,space,0.43512687395559624,,001,2018_Dec_11_1249,body,59.79215458861824,
8,0,8,8,8,,space,0.31861050002044067,,001,2018_Dec_11_1249,body,59.79215458861824,
9,0,9,9,9,,space,0.268034643959254,,001,2018_Dec_11_1249,body,59.79215458861824,
10,0,10,10,10,,space,0.6016833069734275,,001,2018_Dec_11_1249,body,59.79215458861824,
11,0,11,11,11,,space,0.2527529149665497,,001,2018_Dec_11_1249,body,59.79215458861824,
