count,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,order,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
0,0,0,0,0,[43 34 13 24 41 32 11 22 44 33 14 23 42 31 12 21],space,0.922869510948658,,,,001,2018_Dec_11_1253,body,60.128025300318555,
0,0,0,0,0,,,,space,0.5358993769623339,,001,2018_Dec_11_1253,body,60.128025300318555,
0,0,0,0,0,,,,,,,001,2018_Dec_11_1253,body,60.128025300318555,
1,0,1,1,1,,space,0.6023180559859611,,,,001,2018_Dec_11_1253,body,60.128025300318555,
1,0,1,1,1,,,,space,1.3355172090232372,,001,2018_Dec_11_1253,body,60.128025300318555,
1,0,1,1,1,,,,,,,001,2018_Dec_11_1253,body,60.128025300318555,
2,0,2,2,2,,space,0.7849483790341765,,,,001,2018_Dec_11_1253,body,60.128025300318555,
2,0,2,2,2,,,,space,2.436629083007574,,001,2018_Dec_11_1253,body,60.128025300318555,
2,0,2,2,2,,,,,,,001,2018_Dec_11_1253,body,60.128025300318555,
3,0,3,3,3,,space,0.7508577549597248,,,,001,2018_Dec_11_1253,body,60.128025300318555,
3,0,3,3,3,,,,space,0.5344531390001066,,001,2018_Dec_11_1253,body,60.128025300318555,
3,0,3,3,3,,,,,,,001,2018_Dec_11_1253,body,60.128025300318555,
