count,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,order,resp.keys,resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,frameRate,
,,,,,[22 31 42 11 24 33 44 13 21 32 41 12 23 34 43 14],s,0.3363492870121263,,,,,,001,2018_Dec_11_1537,body,59.91243725042023,
0,0,0,0,0,,,,space,1.6047422700212337,space,0.7338160559884273,,001,2018_Dec_11_1537,body,59.91243725042023,
1,0,1,1,1,,,,space,1.2847873800201342,space,1.8700353740132414,,001,2018_Dec_11_1537,body,59.91243725042023,
2,0,2,2,2,,,,space,2.419406549015548,space,0.6843535830266774,,001,2018_Dec_11_1537,body,59.91243725042023,
3,0,3,3,3,,,,space,4.336340776004363,space,0.5347689060145058,,001,2018_Dec_11_1537,body,59.91243725042023,
4,0,4,4,4,,,,space,1.8865198889980093,space,0.6184925949783064,,001,2018_Dec_11_1537,body,59.91243725042023,
5,0,5,5,5,,,,space,0.9861325709498487,space,0.41807681298814714,,001,2018_Dec_11_1537,body,59.91243725042023,
6,0,6,6,6,,,,space,0.7191249340539798,space,0.3683756709797308,,001,2018_Dec_11_1537,body,59.91243725042023,
7,0,7,7,7,,,,space,0.7998865480185486,space,0.35272575297858566,,001,2018_Dec_11_1537,body,59.91243725042023,
8,0,8,8,8,,,,space,0.6837777440086938,space,0.417938589991536,,001,2018_Dec_11_1537,body,59.91243725042023,
9,0,9,9,9,,,,space,0.450449493015185,space,0.332893671002239,,001,2018_Dec_11_1537,body,59.91243725042023,
10,0,10,10,10,,,,space,0.41788021102547646,space,0.285575499990955,,001,2018_Dec_11_1537,body,59.91243725042023,
11,0,11,11,11,,,,space,0.6008691680035554,space,0.333130782993976,,001,2018_Dec_11_1537,body,59.91243725042023,
12,0,12,12,12,,,,space,0.3854405099991709,space,0.35169793805107474,,001,2018_Dec_11_1537,body,59.91243725042023,
13,0,13,13,13,,,,space,0.269559778040275,space,0.3348895449889824,,001,2018_Dec_11_1537,body,59.91243725042023,
14,0,14,14,14,,,,space,0.18522627599304542,space,0.3187451669946313,,001,2018_Dec_11_1537,body,59.91243725042023,
15,0,15,15,15,,,,space,0.3681414229795337,space,0.3010260880109854,,001,2018_Dec_11_1537,body,59.91243725042023,
